N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,c4,c2c4,rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq - 0 1,English.  Claim on central space.
2,e5,e7e5,rnbqkbnr/pppp1ppp/8/4p3/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 0 2,Counter claim on centre.
3,e3,e2e3,rnbqkbnr/pppp1ppp/8/4p3/2P5/4P3/PP1P1PPP/RNBQKBNR b KQkq - 0 2,Preparing for later d4 thrust.
4,Bc5,f8c5,rnbqk1nr/pppp1ppp/8/2b1p3/2P5/4P3/PP1P1PPP/RNBQKBNR w KQkq - 1 3,Blacks Bishop is biting on granite there..but he is stopping an immediate d4.
5,Be2,f1e2,rnbqk1nr/pppp1ppp/8/2b1p3/2P5/4P3/PP1PBPPP/RNBQK1NR b KQkq - 2 3,Just developing bits on Kingside and tempting him to play e4 prematurely.
6,Nf6,g8f6,rnbqk2r/pppp1ppp/5n2/2b1p3/2P5/4P3/PP1PBPPP/RNBQK1NR w KQkq - 3 4,Natural development.
7,Nc3,b1c3,rnbqk2r/pppp1ppp/5n2/2b1p3/2P5/2N1P3/PP1PBPPP/R1BQK1NR b KQkq - 4 4,just getting me bits out.
8,c6,c7c6,rnbqk2r/pp1p1ppp/2p2n2/2b1p3/2P5/2N1P3/PP1PBPPP/R1BQK1NR w KQkq - 0 5,Preparing the freeing d5 push.
9,Nf3,g1f3,rnbqk2r/pp1p1ppp/2p2n2/2b1p3/2P5/2N1PN2/PP1PBPPP/R1BQK2R b KQkq - 1 5,This is a mistake...if black plays an immediate e4 I'm jumping straight back to g1 and then playing f3 to open up the f file for my kings rook after I castle kingside.
10,O-O,e8g8,rnbq1rk1/pp1p1ppp/2p2n2/2b1p3/2P5/2N1PN2/PP1PBPPP/R1BQK2R w KQ - 2 6,Black is supporting e5...it looks like he really doesn't want to push d4.
11,O-O,e1g1,rnbq1rk1/pp1p1ppp/2p2n2/2b1p3/2P5/2N1PN2/PP1PBPPP/R1BQ1RK1 b - - 3 6,Black is supporting e5...it looks like he really doesn't want to push d4.
12,d6,d7d6,rnbq1rk1/pp3ppp/2pp1n2/2b1p3/2P5/2N1PN2/PP1PBPPP/R1BQ1RK1 w - - 0 7,Black is supporting e5...it looks like he really doesn't want to push d4.
13,a3,a2a3,rnbq1rk1/pp3ppp/2pp1n2/2b1p3/2P5/P1N1PN2/1P1PBPPP/R1BQ1RK1 b - - 0 7,OK lets start some play on the Queenside and get some pawns rolling and get my black squared Bishop active on the long diagonal a1-h8 then I can connect my rooks.
14,a6,a7a6,rnbq1rk1/1p3ppp/p1pp1n2/2b1p3/2P5/P1N1PN2/1P1PBPPP/R1BQ1RK1 w - - 0 8,Looks likme black has similar ideas and he is also creating a retreat square for his Bishop.
15,b4,b2b4,rnbq1rk1/1p3ppp/p1pp1n2/2b1p3/1PP5/P1N1PN2/3PBPPP/R1BQ1RK1 b - - 0 8,As per plan.
16,Ba7,c5a7,rnbq1rk1/bp3ppp/p1pp1n2/4p3/1PP5/P1N1PN2/3PBPPP/R1BQ1RK1 w - - 1 9,That's a better square for me old Bishop.
17,Bb2,c1b2,rnbq1rk1/bp3ppp/p1pp1n2/4p3/1PP5/P1N1PN2/1B1PBPPP/R2Q1RK1 b - - 2 9,That's a better square for me old Bishop.
18,Be6,c8e6,rn1q1rk1/bp3ppp/p1ppbn2/4p3/1PP5/P1N1PN2/1B1PBPPP/R2Q1RK1 w - - 3 10,I'm going to push for as much space as I can.
19,d4,d2d4,rn1q1rk1/bp3ppp/p1ppbn2/4p3/1PPP4/P1N1PN2/1B2BPPP/R2Q1RK1 b - - 0 10,I'm going to push for as much space as I can.
20,e4,e5e4,rn1q1rk1/bp3ppp/p1ppbn2/8/1PPPp3/P1N1PN2/1B2BPPP/R2Q1RK1 w - - 0 11,Gross error..chess blindness!...I was thinking of pushing d5 when I made my last move (d4).  When I returned to the game I automatically played it without even noticing that my knight was threatened!!
21,d5,d4d5,rn1q1rk1/bp3ppp/p1ppbn2/3P4/1PP1p3/P1N1PN2/1B2BPPP/R2Q1RK1 b - - 0 11,Gross error..chess blindness!...I was thinking of pushing d5 when I made my last move (d4).  When I returned to the game I automatically played it without even noticing that my knight was threatened!!
22,cxd5,c6d5,rn1q1rk1/bp3ppp/p2pbn2/3p4/1PP1p3/P1N1PN2/1B2BPPP/R2Q1RK1 w - - 0 12,Surely black should have playedexf3 winning a piece.
23,cxd5,c4d5,rn1q1rk1/bp3ppp/p2pbn2/3P4/1P2p3/P1N1PN2/1B2BPPP/R2Q1RK1 b - - 0 12,Another bad error.  Black could still win a piece by exf3...I don't believe I just played exd5 especially because I was already alerted to the danger of black playing exf3!
24,Bd7,e6d7,rn1q1rk1/bp1b1ppp/p2p1n2/3P4/1P2p3/P1N1PN2/1B2BPPP/R2Q1RK1 w - - 1 13,That really lets me off the hook.
25,Nd2,f3d2,rn1q1rk1/bp1b1ppp/p2p1n2/3P4/1P2p3/P1N1P3/1B1NBPPP/R2Q1RK1 b - - 2 13,Now I can start to build up a lot of pressure on the Queenside.
26,Bf5,d7f5,rn1q1rk1/bp3ppp/p2p1n2/3P1b2/1P2p3/P1N1P3/1B1NBPPP/R2Q1RK1 w - - 3 14,Now I can start to build up a lot of pressure on the Queenside.
27,Qb3,d1b3,rn1q1rk1/bp3ppp/p2p1n2/3P1b2/1P2p3/PQN1P3/1B1NBPPP/R4RK1 b - - 4 14,Now I can start to build up a lot of pressure on the Queenside.
