N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,If he had played Be6 I would have played Qd3 unpinning my knight and putting his Bishop on a less desirable square.
2,e5,e7e5,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,If he had played Be6 I would have played Qd3 unpinning my knight and putting his Bishop on a less desirable square.
3,Nf3,g1f3,rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,If he had played Be6 I would have played Qd3 unpinning my knight and putting his Bishop on a less desirable square.
4,d6,d7d6,rnbqkbnr/ppp2ppp/3p4/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,If he had played Be6 I would have played Qd3 unpinning my knight and putting his Bishop on a less desirable square.
5,d4,d2d4,rnbqkbnr/ppp2ppp/3p4/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,If he had played Be6 I would have played Qd3 unpinning my knight and putting his Bishop on a less desirable square.
6,exd4,e5d4,rnbqkbnr/ppp2ppp/3p4/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,If he had played Be6 I would have played Qd3 unpinning my knight and putting his Bishop on a less desirable square.
7,Nxd4,f3d4,rnbqkbnr/ppp2ppp/3p4/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,If he had played Be6 I would have played Qd3 unpinning my knight and putting his Bishop on a less desirable square.
8,c5,c7c5,rnbqkbnr/pp3ppp/3p4/2p5/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 0 5,If he had played Be6 I would have played Qd3 unpinning my knight and putting his Bishop on a less desirable square.
9,Nf3,d4f3,rnbqkbnr/pp3ppp/3p4/2p5/4P3/5N2/PPP2PPP/RNBQKB1R b KQkq - 1 5,If he had played Be6 I would have played Qd3 unpinning my knight and putting his Bishop on a less desirable square.
10,Bg4,c8g4,rn1qkbnr/pp3ppp/3p4/2p5/4P1b1/5N2/PPP2PPP/RNBQKB1R w KQkq - 2 6,If he had played Be6 I would have played Qd3 unpinning my knight and putting his Bishop on a less desirable square.
11,Bc4,f1c4,rn1qkbnr/pp3ppp/3p4/2p5/2B1P1b1/5N2/PPP2PPP/RNBQK2R b KQkq - 3 6,If he had played Be6 I would have played Qd3 unpinning my knight and putting his Bishop on a less desirable square.
12,Nc6,b8c6,r2qkbnr/pp3ppp/2np4/2p5/2B1P1b1/5N2/PPP2PPP/RNBQK2R w KQkq - 4 7,If he had played Be6 I would have played Qd3 unpinning my knight and putting his Bishop on a less desirable square.
13,Qd5,d1d5,r2qkbnr/pp3ppp/2np4/2pQ4/2B1P1b1/5N2/PPP2PPP/RNB1K2R b KQkq - 5 7,If he had played Be6 I would have played Qd3 unpinning my knight and putting his Bishop on a less desirable square.
14,Qe7,d8e7,r3kbnr/pp2qppp/2np4/2pQ4/2B1P1b1/5N2/PPP2PPP/RNB1K2R w KQkq - 6 8,If he had played Be6 I would have played Qd3 unpinning my knight and putting his Bishop on a less desirable square.
15,Ng5,f3g5,r3kbnr/pp2qppp/2np4/2pQ2N1/2B1P1b1/8/PPP2PPP/RNB1K2R b KQkq - 7 8,Better was 9...nf6.
16,Be6,g4e6,r3kbnr/pp2qppp/2npb3/2pQ2N1/2B1P3/8/PPP2PPP/RNB1K2R w KQkq - 8 9,Better was 9...nf6.
17,Nxe6,g5e6,r3kbnr/pp2qppp/2npN3/2pQ4/2B1P3/8/PPP2PPP/RNB1K2R b KQkq - 0 9,Better was 9...nf6.
18,fxe6,f7e6,r3kbnr/pp2q1pp/2npp3/2pQ4/2B1P3/8/PPP2PPP/RNB1K2R w KQkq - 0 10,Better was 9...nf6.
19,Qxe6,d5e6,r3kbnr/pp2q1pp/2npQ3/2p5/2B1P3/8/PPP2PPP/RNB1K2R b KQkq - 0 10,bad move he should just take the Bishop.
20,Qxe6,e7e6,r3kbnr/pp4pp/2npq3/2p5/2B1P3/8/PPP2PPP/RNB1K2R w KQkq - 0 11,bad move he should just take the Bishop.
21,Bxe6,c4e6,r3kbnr/pp4pp/2npB3/2p5/4P3/8/PPP2PPP/RNB1K2R b KQkq - 0 11,bad move he should just take the Bishop.
22,Nd4,c6d4,r3kbnr/pp4pp/3pB3/2p5/3nP3/8/PPP2PPP/RNB1K2R w KQkq - 1 12,bad move he should just take the Bishop.
23,Bb3,e6b3,r3kbnr/pp4pp/3p4/2p5/3nP3/1B6/PPP2PPP/RNB1K2R b KQkq - 2 12,bad move he should just take the Bishop.
24,c4,c5c4,r3kbnr/pp4pp/3p4/8/2pnP3/1B6/PPP2PPP/RNB1K2R w KQkq - 0 13,bad move he should just take the Bishop.
25,Ba4+,b3a4,r3kbnr/pp4pp/3p4/8/B1pnP3/8/PPP2PPP/RNB1K2R b KQkq - 1 13,This is best.
26,b5,b7b5,r3kbnr/p5pp/3p4/1p6/B1pnP3/8/PPP2PPP/RNB1K2R w KQkq - 0 14,The point of Ba4.
27,c3,c2c3,r3kbnr/p5pp/3p4/1p6/B1pnP3/2P5/PP3PPP/RNB1K2R b KQkq - 0 14,The point of Ba4.
28,bxa4,b5a4,r3kbnr/p5pp/3p4/8/p1pnP3/2P5/PP3PPP/RNB1K2R w KQkq - 0 15,Time to round up the a pawn.
29,cxd4,c3d4,r3kbnr/p5pp/3p4/8/p1pPP3/8/PP3PPP/RNB1K2R b KQkq - 0 15,Time to round up the a pawn.
30,Ne7,g8e7,r3kb1r/p3n1pp/3p4/8/p1pPP3/8/PP3PPP/RNB1K2R w KQkq - 1 16,Time to round up the a pawn.
31,Nc3,b1c3,r3kb1r/p3n1pp/3p4/8/p1pPP3/2N5/PP3PPP/R1B1K2R b KQkq - 2 16,Time to round up the a pawn.
32,Nc6,e7c6,r3kb1r/p5pp/2np4/8/p1pPP3/2N5/PP3PPP/R1B1K2R w KQkq - 3 17,Time to round up the a pawn.
33,Be3,c1e3,r3kb1r/p5pp/2np4/8/p1pPP3/2N1B3/PP3PPP/R3K2R b KQkq - 4 17,Time to round up the a pawn.
34,Nb4,c6b4,r3kb1r/p5pp/3p4/8/pnpPP3/2N1B3/PP3PPP/R3K2R w KQkq - 5 18,Time to round up the a pawn.
35,O-O-O,e1c1,r3kb1r/p5pp/3p4/8/pnpPP3/2N1B3/PP3PPP/2KR3R b kq - 6 18,Time to round up the a pawn.
36,a3,a4a3,r3kb1r/p5pp/3p4/8/1npPP3/p1N1B3/PP3PPP/2KR3R w kq - 0 19,Time to round up the a pawn.
37,b3,b2b3,r3kb1r/p5pp/3p4/8/1npPP3/pPN1B3/P4PPP/2KR3R b kq - 0 19,Time to round up the a pawn.
38,cxb3,c4b3,r3kb1r/p5pp/3p4/8/1n1PP3/ppN1B3/P4PPP/2KR3R w kq - 0 20,Time to round up the a pawn.
39,axb3,a2b3,r3kb1r/p5pp/3p4/8/1n1PP3/pPN1B3/5PPP/2KR3R b kq - 0 20,Time to round up the a pawn.
40,Rc8,a8c8,2r1kb1r/p5pp/3p4/8/1n1PP3/pPN1B3/5PPP/2KR3R w k - 1 21,Time to round up the a pawn.
41,Kd2,c1d2,2r1kb1r/p5pp/3p4/8/1n1PP3/pPN1B3/3K1PPP/3R3R b k - 2 21,Time to round up the a pawn.
42,Be7,f8e7,2r1k2r/p3b1pp/3p4/8/1n1PP3/pPN1B3/3K1PPP/3R3R w k - 3 22,Time to round up the a pawn.
43,Rda1,d1a1,2r1k2r/p3b1pp/3p4/8/1n1PP3/pPN1B3/3K1PPP/R6R b k - 4 22,Time to round up the a pawn.
44,a2,a3a2,2r1k2r/p3b1pp/3p4/8/1n1PP3/1PN1B3/p2K1PPP/R6R w k - 0 23,If i play nxa2 right away Rc2+ does me in.
45,Rhc1,h1c1,2r1k2r/p3b1pp/3p4/8/1n1PP3/1PN1B3/p2K1PPP/R1R5 b k - 1 23,If i play nxa2 right away Rc2+ does me in.
46,Rb8,c8b8,1r2k2r/p3b1pp/3p4/8/1n1PP3/1PN1B3/p2K1PPP/R1R5 w k - 2 24,Better than 25...Rxb3 26.Rc8+ Bd8 27.Rxa7 and when I get the chance Bg5.
47,Nxa2,c3a2,1r2k2r/p3b1pp/3p4/8/1n1PP3/1P2B3/N2K1PPP/R1R5 b k - 0 24,Better than 25...Rxb3 26.Rc8+ Bd8 27.Rxa7 and when I get the chance Bg5.
48,Nxa2,b4a2,1r2k2r/p3b1pp/3p4/8/3PP3/1P2B3/n2K1PPP/R1R5 w k - 0 25,Better than 25...Rxb3 26.Rc8+ Bd8 27.Rxa7 and when I get the chance Bg5.
49,Rxa2,a1a2,1r2k2r/p3b1pp/3p4/8/3PP3/1P2B3/R2K1PPP/2R5 b k - 0 25,Better than 25...Rxb3 26.Rc8+ Bd8 27.Rxa7 and when I get the chance Bg5.
50,Rb7,b8b7,4k2r/pr2b1pp/3p4/8/3PP3/1P2B3/R2K1PPP/2R5 w k - 1 26,Better than 25...Rxb3 26.Rc8+ Bd8 27.Rxa7 and when I get the chance Bg5.
