N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,d4,d2d4,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,i almost always open d4-c4 as white
2,Nf6,g8f6,rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,i almost always open d4-c4 as white
3,c4,c2c4,rnbqkb1r/pppppppp/5n2/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,i almost always open d4-c4 as white
4,d6,d7d6,rnbqkb1r/ppp1pppp/3p1n2/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,normal moves
5,Nc3,b1c3,rnbqkb1r/ppp1pppp/3p1n2/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,develop
6,Nbd7,b8d7,r1bqkb1r/pppnpppp/3p1n2/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,"develop, locking in his bishop unless he goes to b7"
7,Nf3,g1f3,r1bqkb1r/pppnpppp/3p1n2/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 3 4,developing knights first
8,e5,e7e5,r1bqkb1r/pppn1ppp/3p1n2/4p3/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,attacking the center
9,d5,d4d5,r1bqkb1r/pppn1ppp/3p1n2/3Pp3/2P5/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 0 5,trying to take space
10,Be7,f8e7,r1bqk2r/pppnbppp/3p1n2/3Pp3/2P5/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 1 6,developing
11,e4,e2e4,r1bqk2r/pppnbppp/3p1n2/3Pp3/2P1P3/2N2N2/PP3PPP/R1BQKB1R b KQkq - 0 6,creating a pawn structure
12,O-O,e8g8,r1bq1rk1/pppnbppp/3p1n2/3Pp3/2P1P3/2N2N2/PP3PPP/R1BQKB1R w KQ - 1 7,castling
13,Bd3,f1d3,r1bq1rk1/pppnbppp/3p1n2/3Pp3/2P1P3/2NB1N2/PP3PPP/R1BQK2R b KQ - 2 7,developing to defend the pawns again
14,c6,c7c6,r1bq1rk1/pp1nbppp/2pp1n2/3Pp3/2P1P3/2NB1N2/PP3PPP/R1BQK2R w KQ - 0 8,probably hoping I take
15,Bg5,c1g5,r1bq1rk1/pp1nbppp/2pp1n2/3Pp1B1/2P1P3/2NB1N2/PP3PPP/R2QK2R b KQ - 1 8,developing my final piece
16,cxd5,c6d5,r1bq1rk1/pp1nbppp/3p1n2/3pp1B1/2P1P3/2NB1N2/PP3PPP/R2QK2R w KQ - 0 9,fine pawn strucutre still for me but
17,cxd5,c4d5,r1bq1rk1/pp1nbppp/3p1n2/3Pp1B1/4P3/2NB1N2/PP3PPP/R2QK2R b KQ - 0 9,fine pawn strucutre still for me but
18,Nxd5,f6d5,r1bq1rk1/pp1nbppp/3p4/3np1B1/4P3/2NB1N2/PP3PPP/R2QK2R w KQ - 0 10,brilliant tactic by him to win a pawn. I believe that there is nothing I could have done; as I analyzed many lines; correct me if i'm wrong
19,Nxd5,c3d5,r1bq1rk1/pp1nbppp/3p4/3Np1B1/4P3/3B1N2/PP3PPP/R2QK2R b KQ - 0 10,I wanted my knight at d5 which is the reason I took there
20,Bxg5,e7g5,r1bq1rk1/pp1n1ppp/3p4/3Np1b1/4P3/3B1N2/PP3PPP/R2QK2R w KQ - 0 11,I wanted my knight at d5 which is the reason I took there
21,Qc2,d1c2,r1bq1rk1/pp1n1ppp/3p4/3Np1b1/4P3/3B1N2/PPQ2PPP/R3K2R b KQ - 1 11,attacking c7 I guess
22,Nc5,d7c5,r1bq1rk1/pp3ppp/3p4/2nNp1b1/4P3/3B1N2/PPQ2PPP/R3K2R w KQ - 2 12,blocking me
23,O-O,e1g1,r1bq1rk1/pp3ppp/3p4/2nNp1b1/4P3/3B1N2/PPQ2PPP/R4RK1 b - - 3 12,I castle
24,Bh6,g5h6,r1bq1rk1/pp3ppp/3p3b/2nNp3/4P3/3B1N2/PPQ2PPP/R4RK1 w - - 4 13,"he retreats, favoring a bishop over a knight. That spot would be a strong spot for his bishop never allowing me to bring my rooks to c1 during the game on to the open final"
