N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,c4,c2c4,rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq - 0 1,One of my favorite openings. It's flexible and usually gives White the Q-side spatial advantage.
2,e5,e7e5,rnbqkbnr/pppp1ppp/8/4p3/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 0 2,Logical.
3,Nc3,b1c3,rnbqkbnr/pppp1ppp/8/4p3/2P5/2N5/PP1PPPPP/R1BQKBNR b KQkq - 1 2,"I intend P-Q3 and a fianchetto of my KB, giving me control of the light squares."
4,Qf6,d8f6,rnb1kbnr/pppp1ppp/5q2/4p3/2P5/2N5/PP1PPPPP/R1BQKBNR w KQkq - 2 3,"Very unusual, and a little premature to develop the Q. It also blocks the Black KN from its natural square."
5,Nf3,g1f3,rnb1kbnr/pppp1ppp/5q2/4p3/2P5/2N2N2/PP1PPPPP/R1BQKB1R b KQkq - 3 3,"Now because of Black's Q and KN, his KB is blocked in."
6,Nc6,b8c6,r1b1kbnr/pppp1ppp/2n2q2/4p3/2P5/2N2N2/PP1PPPPP/R1BQKB1R w KQkq - 4 4,"Now because of Black's Q and KN, his KB is blocked in."
7,g3,g2g3,r1b1kbnr/pppp1ppp/2n2q2/4p3/2P5/2N2NP1/PP1PPP1P/R1BQKB1R b KQkq - 0 4,"Now because of Black's Q and KN, his KB is blocked in."
8,Nge7,g8e7,r1b1kb1r/ppppnppp/2n2q2/4p3/2P5/2N2NP1/PP1PPP1P/R1BQKB1R w KQkq - 1 5,"Now because of Black's Q and KN, his KB is blocked in."
9,Bg2,f1g2,r1b1kb1r/ppppnppp/2n2q2/4p3/2P5/2N2NP1/PP1PPPBP/R1BQK2R b KQkq - 2 5,My King is now safe and I still have both center Pawns held in reserve to open the position at my leisure.
10,h6,h7h6,r1b1kb1r/ppppnpp1/2n2q1p/4p3/2P5/2N2NP1/PP1PPPBP/R1BQK2R w KQkq - 0 6,My King is now safe and I still have both center Pawns held in reserve to open the position at my leisure.
11,O-O,e1g1,r1b1kb1r/ppppnpp1/2n2q1p/4p3/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 b kq - 1 6,My King is now safe and I still have both center Pawns held in reserve to open the position at my leisure.
12,d6,d7d6,r1b1kb1r/ppp1npp1/2np1q1p/4p3/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 w kq - 0 7,"Strengthening the center and preparing to castle Q-side. With the K-side development so fouled up, he has little choice."
13,d3,d2d3,r1b1kb1r/ppp1npp1/2np1q1p/4p3/2P5/2NP1NP1/PP2PPBP/R1BQ1RK1 b kq - 0 7,"I begin making preparations for a Q-side attack, since Black will be forced to put his K on that side of the board."
14,Bd7,c8d7,r3kb1r/pppbnpp1/2np1q1p/4p3/2P5/2NP1NP1/PP2PPBP/R1BQ1RK1 w kq - 1 8,"I begin making preparations for a Q-side attack, since Black will be forced to put his K on that side of the board."
15,Bd2,c1d2,r3kb1r/pppbnpp1/2np1q1p/4p3/2P5/2NP1NP1/PP1BPPBP/R2Q1RK1 b kq - 2 8,"I begin making preparations for a Q-side attack, since Black will be forced to put his K on that side of the board."
16,O-O-O,e8c8,2kr1b1r/pppbnpp1/2np1q1p/4p3/2P5/2NP1NP1/PP1BPPBP/R2Q1RK1 w - - 3 9,First step: open a line for my QR to use.
17,Nd5,c3d5,2kr1b1r/pppbnpp1/2np1q1p/3Np3/2P5/3P1NP1/PP1BPPBP/R2Q1RK1 b - - 4 9,First step: open a line for my QR to use.
18,Nxd5,e7d5,2kr1b1r/pppb1pp1/2np1q1p/3np3/2P5/3P1NP1/PP1BPPBP/R2Q1RK1 w - - 0 10,Mission accomplished.
19,cxd5,c4d5,2kr1b1r/pppb1pp1/2np1q1p/3Pp3/8/3P1NP1/PP1BPPBP/R2Q1RK1 b - - 0 10,Mission accomplished.
20,Nd4,c6d4,2kr1b1r/pppb1pp1/3p1q1p/3Pp3/3n4/3P1NP1/PP1BPPBP/R2Q1RK1 w - - 1 11,"A mistake. This piece should have stayed on the Q-side to guard the King. 10...N-N1! was the proper move. This would also strengthen the QB3 square, in preparation for ...P-QB3, sealing off the QB file as an avenue of attack."
21,Nxd4,f3d4,2kr1b1r/pppb1pp1/3p1q1p/3Pp3/3N4/3P2P1/PP1BPPBP/R2Q1RK1 b - - 0 11,"The open QB-file is tempting, but first I must secure my Pawns."
22,exd4,e5d4,2kr1b1r/pppb1pp1/3p1q1p/3P4/3p4/3P2P1/PP1BPPBP/R2Q1RK1 w - - 0 12,"The open QB-file is tempting, but first I must secure my Pawns."
