N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,Scandinavian.
2,d5,d7d5,rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Scandinavian.
3,f3,f2f3,rnbqkbnr/ppp1pppp/8/3p4/4P3/5P2/PPPP2PP/RNBQKBNR b KQkq - 0 2,Black's alternatives are usually quite good when white moves this weak pawn.
4,e6,e7e6,rnbqkbnr/ppp2ppp/4p3/3p4/4P3/5P2/PPPP2PP/RNBQKBNR w KQkq - 0 3,"Pdxe4 is the most popular response, though this too is good.  Pe6 might be even better, asserting greater control of the center."
5,e5,e4e5,rnbqkbnr/ppp2ppp/4p3/3pP3/8/5P2/PPPP2PP/RNBQKBNR b KQkq - 0 3,"Pulling the queen out early generally is not so great.  Against weak players it can be powerful, but strong players will chase her, developing their pieces while the queen moves over and over."
6,Qh4+,d8h4,rnb1kbnr/ppp2ppp/4p3/3pP3/7q/5P2/PPPP2PP/RNBQKBNR w KQkq - 1 4,"Pulling the queen out early generally is not so great.  Against weak players it can be powerful, but strong players will chase her, developing their pieces while the queen moves over and over."
7,g3,g2g3,rnb1kbnr/ppp2ppp/4p3/3pP3/7q/5PP1/PPPP3P/RNBQKBNR b KQkq - 0 4,Nice potential.
8,Qd4,h4d4,rnb1kbnr/ppp2ppp/4p3/3pP3/3q4/5PP1/PPPP3P/RNBQKBNR w KQkq - 1 5,Nice potential.
9,d3,d2d3,rnb1kbnr/ppp2ppp/4p3/3pP3/3q4/3P1PP1/PPP4P/RNBQKBNR b KQkq - 0 5,Good move.
10,Qxe5+,d4e5,rnb1kbnr/ppp2ppp/4p3/3pq3/8/3P1PP1/PPP4P/RNBQKBNR w KQkq - 0 6,Good move.
11,Ne2,g1e2,rnb1kbnr/ppp2ppp/4p3/3pq3/8/3P1PP1/PPP1N2P/RNBQKB1R b KQkq - 1 6,"This was not a wise idea.  The reason is that white can block the check by interposing a pawn.  Black must move the queen out of danger, meaning the bishop falls to the blocking pawn (Pc3)."
12,d4,d5d4,rnb1kbnr/ppp2ppp/4p3/4q3/3p4/3P1PP1/PPP1N2P/RNBQKB1R w KQkq - 0 7,"This was not a wise idea.  The reason is that white can block the check by interposing a pawn.  Black must move the queen out of danger, meaning the bishop falls to the blocking pawn (Pc3)."
13,f4,f3f4,rnb1kbnr/ppp2ppp/4p3/4q3/3p1P2/3P2P1/PPP1N2P/RNBQKB1R b KQkq - 0 7,"This was not a wise idea.  The reason is that white can block the check by interposing a pawn.  Black must move the queen out of danger, meaning the bishop falls to the blocking pawn (Pc3)."
14,Qd5,e5d5,rnb1kbnr/ppp2ppp/4p3/3q4/3p1P2/3P2P1/PPP1N2P/RNBQKB1R w KQkq - 1 8,"This was not a wise idea.  The reason is that white can block the check by interposing a pawn.  Black must move the queen out of danger, meaning the bishop falls to the blocking pawn (Pc3)."
15,Rg1,h1g1,rnb1kbnr/ppp2ppp/4p3/3q4/3p1P2/3P2P1/PPP1N2P/RNBQKBR1 b Qkq - 2 8,"This was not a wise idea.  The reason is that white can block the check by interposing a pawn.  Black must move the queen out of danger, meaning the bishop falls to the blocking pawn (Pc3)."
16,e5,e6e5,rnb1kbnr/ppp2ppp/8/3qp3/3p1P2/3P2P1/PPP1N2P/RNBQKBR1 w Qkq - 0 9,"This was not a wise idea.  The reason is that white can block the check by interposing a pawn.  Black must move the queen out of danger, meaning the bishop falls to the blocking pawn (Pc3)."
17,Bg2,f1g2,rnb1kbnr/ppp2ppp/8/3qp3/3p1P2/3P2P1/PPP1N1BP/RNBQK1R1 b Qkq - 1 9,"This was not a wise idea.  The reason is that white can block the check by interposing a pawn.  Black must move the queen out of danger, meaning the bishop falls to the blocking pawn (Pc3)."
18,Bb4+,f8b4,rnb1k1nr/ppp2ppp/8/3qp3/1b1p1P2/3P2P1/PPP1N1BP/RNBQK1R1 w Qkq - 2 10,"This was not a wise idea.  The reason is that white can block the check by interposing a pawn.  Black must move the queen out of danger, meaning the bishop falls to the blocking pawn (Pc3)."
19,c3,c2c3,rnb1k1nr/ppp2ppp/8/3qp3/1b1p1P2/2PP2P1/PP2N1BP/RNBQK1R1 b Qkq - 0 10,"So now black has not real counter threat and must choose which piece to sacrifice, the bishop or the queen."
20,Be7,b4e7,rnb1k1nr/ppp1bppp/8/3qp3/3p1P2/2PP2P1/PP2N1BP/RNBQK1R1 w Qkq - 1 11,Black does not choose wisely.
21,Bxd5,g2d5,rnb1k1nr/ppp1bppp/8/3Bp3/3p1P2/2PP2P1/PP2N2P/RNBQK1R1 b Qkq - 0 11,"Oh no--Pb7 is undefended, meaning white will now take a pawn and rook essentially for free."
22,Bg4,c8g4,rn2k1nr/ppp1bppp/8/3Bp3/3p1Pb1/2PP2P1/PP2N2P/RNBQK1R1 w Qkq - 1 12,"Oh no--Pb7 is undefended, meaning white will now take a pawn and rook essentially for free."
23,Bxb7,d5b7,rn2k1nr/pBp1bppp/8/4p3/3p1Pb1/2PP2P1/PP2N2P/RNBQK1R1 b Qkq - 0 12,"When behind, trading pieces is best avoided if it confers no positional advantage.  Black really does not want the white queen threatening the undefended pawn at e5.  The bishop was better off simply pinning the knight, though Qa4+ would have freed it easy enough."
24,Bxe2,g4e2,rn2k1nr/pBp1bppp/8/4p3/3p1P2/2PP2P1/PP2b2P/RNBQK1R1 w Qkq - 0 13,"When behind, trading pieces is best avoided if it confers no positional advantage.  Black really does not want the white queen threatening the undefended pawn at e5.  The bishop was better off simply pinning the knight, though Qa4+ would have freed it easy enough."
25,Qxe2,d1e2,rn2k1nr/pBp1bppp/8/4p3/3p1P2/2PP2P1/PP2Q2P/RNB1K1R1 b Qkq - 0 13,"The rook wasn't going anywhere, white could have dealt with pawns first.  NOT QxPe5, which would have let the rook escape with Nd7, though."
26,dxc3,d4c3,rn2k1nr/pBp1bppp/8/4p3/5P2/2pP2P1/PP2Q2P/RNB1K1R1 w Qkq - 0 14,"The rook wasn't going anywhere, white could have dealt with pawns first.  NOT QxPe5, which would have let the rook escape with Nd7, though."
27,Bxa8,b7a8,Bn2k1nr/p1p1bppp/8/4p3/5P2/2pP2P1/PP2Q2P/RNB1K1R1 b Qk - 0 14,"The rook wasn't going anywhere, white could have dealt with pawns first.  NOT QxPe5, which would have let the rook escape with Nd7, though."
28,Bc5,e7c5,Bn2k1nr/p1p2ppp/8/2b1p3/5P2/2pP2P1/PP2Q2P/RNB1K1R1 w Qk - 1 15,"While this looks like a decent counter threat, white will want to play QxPe5+, and pick off Bc5.  Black will have to interpose the bishop, letting white play QxPc7."
29,Qxe5+,e2e5,Bn2k1nr/p1p2ppp/8/2b1Q3/5P2/2pP2P1/PP5P/RNB1K1R1 b Qk - 0 15,"Uh, no.  Be7 would block the check even better, given that QxBc5 changes black's material disadvantage from -14 to -17.  -18, since black will also lose either Pc7 or Pa7."
30,Ne7,g8e7,Bn2k2r/p1p1nppp/8/2b1Q3/5P2/2pP2P1/PP5P/RNB1K1R1 w Qk - 1 16,"Uh, no.  Be7 would block the check even better, given that QxBc5 changes black's material disadvantage from -14 to -17.  -18, since black will also lose either Pc7 or Pa7."
31,Qxc5,e5c5,Bn2k2r/p1p1nppp/8/2Q5/5P2/2pP2P1/PP5P/RNB1K1R1 b Qk - 0 16,Black will need to play Kd8 to protect the remaining rook from the queen.  Nc8 might also work.  Either way black will probably play BxPg7.  But the pawn will prove cheaper than the rook.
32,a6,a7a6,Bn2k2r/2p1nppp/p7/2Q5/5P2/2pP2P1/PP5P/RNB1K1R1 w Qk - 0 17,Black will need to play Kd8 to protect the remaining rook from the queen.  Nc8 might also work.  Either way black will probably play BxPg7.  But the pawn will prove cheaper than the rook.
33,Qxc7,c5c7,Bn2k2r/2Q1nppp/p7/8/5P2/2pP2P1/PP5P/RNB1K1R1 b Qk - 0 17,Black will need to play Kd8 to protect the remaining rook from the queen.  Nc8 might also work.  Either way black will probably play BxPg7.  But the pawn will prove cheaper than the rook.
34,Nd7,b8d7,B3k2r/2Qnnppp/p7/8/5P2/2pP2P1/PP5P/RNB1K1R1 w Qk - 1 18,Black will need to play Kd8 to protect the remaining rook from the queen.  Nc8 might also work.  Either way black will probably play BxPg7.  But the pawn will prove cheaper than the rook.
