N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,d4,d2d4,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,"An unusual opening leads to approximate opening equality, but Black gets an edge in the middlegame when White fails to fix his defects efficiently and wins late as a direct result of early issues."
2,e5,e7e5,rnbqkbnr/pppp1ppp/8/4p3/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,"The Englund Gambit Accepted.  White could have ""opted out"" with 2.e4 with a counter gambit offer (The Danish/Goring/Scotch Gambit complex).  Interesting also is 2.d5."
3,dxe5,d4e5,rnbqkbnr/pppp1ppp/8/4P3/8/8/PPP1PPPP/RNBQKBNR b KQkq - 0 2,"The Englund Gambit Accepted.  White could have ""opted out"" with 2.e4 with a counter gambit offer (The Danish/Goring/Scotch Gambit complex).  Interesting also is 2.d5."
4,Nc6,b8c6,r1bqkbnr/pppp1ppp/2n5/4P3/8/8/PPP1PPPP/RNBQKBNR w KQkq - 1 3,"Black's options include 2...f6 and 2...d6.  The latter can transpose to a gambit line of Black's in the Philidor.  The Englund Gambit coplex is actually three or four different gambits.  The Soller (2...f6), the Englund (2...Nc6), the Hartlaub (2...d6) and the Blackburne which arises out of the Hartlaub.  I have also experimented with 2...Bc5, then 3...Qe7 and perhaps 4...Nc6, but this is sometimes cumbersome against best play by White and definitely difficult to play under such circumstances.  If white hesitates however..."
5,Nf3,g1f3,r1bqkbnr/pppp1ppp/2n5/4P3/8/5N2/PPP1PPPP/RNBQKB1R b KQkq - 2 3,"If White wants to test Black, then a different third move is probably needed.  A favorite is 3.Qd5."
6,Qe7,d8e7,r1b1kbnr/ppppqppp/2n5/4P3/8/5N2/PPP1PPPP/RNBQKB1R w KQkq - 3 4,Maybe 6.c4 is better?
7,e3,e2e3,r1b1kbnr/ppppqppp/2n5/4P3/8/4PN2/PPP2PPP/RNBQKB1R b KQkq - 0 4,Maybe 6.c4 is better?
8,Nxe5,c6e5,r1b1kbnr/ppppqppp/8/4n3/8/4PN2/PPP2PPP/RNBQKB1R w KQkq - 0 5,Maybe 6.c4 is better?
9,Nxe5,f3e5,r1b1kbnr/ppppqppp/8/4N3/8/4P3/PPP2PPP/RNBQKB1R b KQkq - 0 5,Maybe 6.c4 is better?
10,Qxe5,e7e5,r1b1kbnr/pppp1ppp/8/4q3/8/4P3/PPP2PPP/RNBQKB1R w KQkq - 0 6,Maybe 6.c4 is better?
11,Nc3,b1c3,r1b1kbnr/pppp1ppp/8/4q3/8/2N1P3/PPP2PPP/R1BQKB1R b KQkq - 1 6,Maybe 6.c4 is better?
12,Bb4,f8b4,r1b1k1nr/pppp1ppp/8/4q3/1b6/2N1P3/PPP2PPP/R1BQKB1R w KQkq - 2 7,Wisely unpinning the Queen's Knight immediately before Black can build any significant pressure.
13,Bd2,c1d2,r1b1k1nr/pppp1ppp/8/4q3/1b6/2N1P3/PPPB1PPP/R2QKB1R b KQkq - 3 7,Wisely unpinning the Queen's Knight immediately before Black can build any significant pressure.
14,Nf6,g8f6,r1b1k2r/pppp1ppp/5n2/4q3/1b6/2N1P3/PPPB1PPP/R2QKB1R w KQkq - 4 8,The opening is pretty much over and in taking stock we see Black has a healthy bit of the center and a Queen that might be attacked while White is solid and ready to push e3-e4. If White gets the e4 push in soon the Black Queen may need to take time to move to a safe square.  Dynamic equality?
15,Bd3,f1d3,r1b1k2r/pppp1ppp/5n2/4q3/1b6/2NBP3/PPPB1PPP/R2QK2R b KQkq - 5 8,The opening is pretty much over and in taking stock we see Black has a healthy bit of the center and a Queen that might be attacked while White is solid and ready to push e3-e4. If White gets the e4 push in soon the Black Queen may need to take time to move to a safe square.  Dynamic equality?
16,d5,d7d5,r1b1k2r/ppp2ppp/5n2/3pq3/1b6/2NBP3/PPPB1PPP/R2QK2R w KQkq - 0 9,The opening is pretty much over and in taking stock we see Black has a healthy bit of the center and a Queen that might be attacked while White is solid and ready to push e3-e4. If White gets the e4 push in soon the Black Queen may need to take time to move to a safe square.  Dynamic equality?
17,O-O,e1g1,r1b1k2r/ppp2ppp/5n2/3pq3/1b6/2NBP3/PPPB1PPP/R2Q1RK1 b kq - 1 9,The opening is pretty much over and in taking stock we see Black has a healthy bit of the center and a Queen that might be attacked while White is solid and ready to push e3-e4. If White gets the e4 push in soon the Black Queen may need to take time to move to a safe square.  Dynamic equality?
