N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,d4,d2d4,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,I decided to move my horse because it moves in an L shape and that is pretty cool.
2,Nf6,g8f6,rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,I decided to move my horse because it moves in an L shape and that is pretty cool.
3,Bg5,c1g5,rnbqkb1r/pppppppp/5n2/6B1/3P4/8/PPP1PPPP/RN1QKBNR b KQkq - 2 2,I haven't ever seen anyone do this before.
4,e6,e7e6,rnbqkb1r/pppp1ppp/4pn2/6B1/3P4/8/PPP1PPPP/RN1QKBNR w KQkq - 0 3,But it's all coo' because my queen now has visual contact with the steed of awesomeness.
5,e4,e2e4,rnbqkb1r/pppp1ppp/4pn2/6B1/3PP3/8/PPP2PPP/RN1QKBNR b KQkq - 0 3,"I see your game, you devious rogue you!"
6,Be7,f8e7,rnbqk2r/ppppbppp/4pn2/6B1/3PP3/8/PPP2PPP/RN1QKBNR w KQkq - 1 4,That pin isn't cool yo. Not going to lose my Noble steed of awesomeness to some pawn like that.
7,e5,e4e5,rnbqk2r/ppppbppp/4pn2/4P1B1/3P4/8/PPP2PPP/RN1QKBNR b KQkq - 0 4,"Still going to advance. Long hair, don't care"
8,Nd5,f6d5,rnbqk2r/ppppbppp/4p3/3nP1B1/3P4/8/PPP2PPP/RN1QKBNR w KQkq - 1 5,Dun want my horsy to get taken.
9,Bd2,g5d2,rnbqk2r/ppppbppp/4p3/3nP3/3P4/8/PPPB1PPP/RN1QKBNR b KQkq - 2 5,That dude with the cross on his head ran away. Probably because my army is so intimidating and what not.
10,d6,d7d6,rnbqk2r/ppp1bppp/3pp3/3nP3/3P4/8/PPPB1PPP/RN1QKBNR w KQkq - 0 6,"Quit cramping me yo, i need some room to breathe."
11,c3,c2c3,rnbqk2r/ppp1bppp/3pp3/3nP3/3P4/2P5/PP1B1PPP/RN1QKBNR b KQkq - 0 6,Waste of a tempo and removes a good square for one of his horsy.
12,dxe5,d6e5,rnbqk2r/ppp1bppp/4p3/3np3/3P4/2P5/PP1B1PPP/RN1QKBNR w KQkq - 0 7,HIYAHHHHH! And with the swiftness of a thousand lambs my pawn strikes!
13,dxe5,d4e5,rnbqk2r/ppp1bppp/4p3/3nP3/8/2P5/PP1B1PPP/RN1QKBNR b KQkq - 0 7,"I drew first blood, so its all good."
14,Nc6,b8c6,r1bqk2r/ppp1bppp/2n1p3/3nP3/8/2P5/PP1B1PPP/RN1QKBNR w KQkq - 1 8,Now i have 2 horsy's running around. I wish i had an apple to feed them.
15,Nf3,g1f3,r1bqk2r/ppp1bppp/2n1p3/3nP3/8/2P2N2/PP1B1PPP/RN1QKB1R b KQkq - 2 8,One of his horsy's come to protect the evil foot soldier dude that is in my space.
16,O-O,e8g8,r1bq1rk1/ppp1bppp/2n1p3/3nP3/8/2P2N2/PP1B1PPP/RN1QKB1R w KQ - 3 9,My king decides it is time to chill in his awesome castle. It has a pool table.
17,Bb5,f1b5,r1bq1rk1/ppp1bppp/2n1p3/1B1nP3/8/2P2N2/PP1B1PPP/RN1QK2R b KQ - 4 9,"That other dude with the cross on his head came out. Long hair, she don't care."
18,Bd7,c8d7,r2q1rk1/pppbbppp/2n1p3/1B1nP3/8/2P2N2/PP1B1PPP/RN1QK2R w KQ - 5 10,So i figure i will bring my other dude with the cross on his head. His name is Fredrick the 3rd and 1/2.
19,Bxc6,b5c6,r2q1rk1/pppbbppp/2B1p3/3nP3/8/2P2N2/PP1B1PPP/RN1QK2R b KQ - 0 10,NOOOOOOOOOOOOOOO MY HORSEY!
20,Bxc6,d7c6,r2q1rk1/ppp1bppp/2b1p3/3nP3/8/2P2N2/PP1B1PPP/RN1QK2R w KQ - 0 11,VENGEANCE! dang poachers are stealing my steeds. Luckily Fredrick the 3rd and 1/2 was there to rectify the situation and maintain order.
21,O-O,e1g1,r2q1rk1/ppp1bppp/2b1p3/3nP3/8/2P2N2/PP1B1PPP/RN1Q1RK1 b - - 1 11,He goes into his castle. It probably doesn't have a pool table though.
