N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,d4,d2d4,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,The starting position.
2,d5,d7d5,rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,The starting position.
3,c4,c2c4,rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,The starting position.
4,e6,e7e6,rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,The starting position.
5,Nc3,b1c3,rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,The starting position.
6,Nf6,g8f6,rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,The starting position.
7,Nf3,g1f3,rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 3 4,The starting position.
8,c6,c7c6,rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,The starting position.
9,Bg5,c1g5,rnbqkb1r/pp3ppp/2p1pn2/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R b KQkq - 1 5,The starting position.
10,dxc4,d5c4,rnbqkb1r/pp3ppp/2p1pn2/6B1/2pP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 6,The starting position.
11,e4,e2e4,rnbqkb1r/pp3ppp/2p1pn2/6B1/2pPP3/2N2N2/PP3PPP/R2QKB1R b KQkq - 0 6,The starting position.
12,Be7,f8e7,rnbqk2r/pp2bppp/2p1pn2/6B1/2pPP3/2N2N2/PP3PPP/R2QKB1R w KQkq - 1 7,The starting position.
13,Bxc4,f1c4,rnbqk2r/pp2bppp/2p1pn2/6B1/2BPP3/2N2N2/PP3PPP/R2QK2R b KQkq - 0 7,The starting position.
14,O-O,e8g8,rnbq1rk1/pp2bppp/2p1pn2/6B1/2BPP3/2N2N2/PP3PPP/R2QK2R w KQ - 1 8,The starting position.
15,O-O,e1g1,rnbq1rk1/pp2bppp/2p1pn2/6B1/2BPP3/2N2N2/PP3PPP/R2Q1RK1 b - - 2 8,The starting position.
16,Nbd7,b8d7,r1bq1rk1/pp1nbppp/2p1pn2/6B1/2BPP3/2N2N2/PP3PPP/R2Q1RK1 w - - 3 9,The starting position.
17,Qc2,d1c2,r1bq1rk1/pp1nbppp/2p1pn2/6B1/2BPP3/2N2N2/PPQ2PPP/R4RK1 b - - 4 9,"After a spate of development/maneuvering, the game really begins with this thrust."
18,Nb6,d7b6,r1bq1rk1/pp2bppp/1np1pn2/6B1/2BPP3/2N2N2/PPQ2PPP/R4RK1 w - - 5 10,"After a spate of development/maneuvering, the game really begins with this thrust."
19,Bd3,c4d3,r1bq1rk1/pp2bppp/1np1pn2/6B1/3PP3/2NB1N2/PPQ2PPP/R4RK1 b - - 6 10,"After a spate of development/maneuvering, the game really begins with this thrust."
20,Nfd7,f6d7,r1bq1rk1/pp1nbppp/1np1p3/6B1/3PP3/2NB1N2/PPQ2PPP/R4RK1 w - - 7 11,"After a spate of development/maneuvering, the game really begins with this thrust."
21,Be3,g5e3,r1bq1rk1/pp1nbppp/1np1p3/8/3PP3/2NBBN2/PPQ2PPP/R4RK1 b - - 8 11,"After a spate of development/maneuvering, the game really begins with this thrust."
22,Nf6,d7f6,r1bq1rk1/pp2bppp/1np1pn2/8/3PP3/2NBBN2/PPQ2PPP/R4RK1 w - - 9 12,"After a spate of development/maneuvering, the game really begins with this thrust."
