N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,h4,h2h4,rnbqkbnr/pppppppp/8/8/7P/8/PPPPPPP1/RNBQKBNR b KQkq - 0 1,"Well, I've annotate this game yet. But htis time there's a li'l surprise! yes, because i ask to a chess friend of mine to comment this game. and i wanna do it. and that chess friend of mine is CYRANO!he's italian like me so i'll try to translate as well as i can his comments."
2,d5,d7d5,rnbqkbnr/ppp1pppp/8/3p4/7P/8/PPPPPPP1/RNBQKBNR w KQkq - 0 2,"I don't comment white's opening, it's made by weak moves."
3,b3,b2b3,rnbqkbnr/ppp1pppp/8/3p4/7P/1P6/P1PPPPP1/RNBQKBNR b KQkq - 0 2,"I don't comment white's opening, it's made by weak moves."
4,e5,e7e5,rnbqkbnr/ppp2ppp/8/3pp3/7P/1P6/P1PPPPP1/RNBQKBNR w KQkq - 0 3,"I don't comment white's opening, it's made by weak moves."
5,Bb2,c1b2,rnbqkbnr/ppp2ppp/8/3pp3/7P/1P6/PBPPPPP1/RN1QKBNR b KQkq - 1 3,"I don't comment white's opening, it's made by weak moves."
6,f6,f7f6,rnbqkbnr/ppp3pp/5p2/3pp3/7P/1P6/PBPPPPP1/RN1QKBNR w KQkq - 0 4,"I don't comment white's opening, it's made by weak moves."
7,e3,e2e3,rnbqkbnr/ppp3pp/5p2/3pp3/7P/1P2P3/PBPP1PP1/RN1QKBNR b KQkq - 0 4,"I don't comment white's opening, it's made by weak moves."
8,c5,c7c5,rnbqkbnr/pp4pp/5p2/2ppp3/7P/1P2P3/PBPP1PP1/RN1QKBNR w KQkq - 0 5,"I don't comment white's opening, it's made by weak moves."
9,Nc3,b1c3,rnbqkbnr/pp4pp/5p2/2ppp3/7P/1PN1P3/PBPP1PP1/R2QKBNR b KQkq - 1 5,"I don't comment white's opening, it's made by weak moves."
10,Ne7,g8e7,rnbqkb1r/pp2n1pp/5p2/2ppp3/7P/1PN1P3/PBPP1PP1/R2QKBNR w KQkq - 2 6,easier was 5...Nc6
11,Qe2,d1e2,rnbqkb1r/pp2n1pp/5p2/2ppp3/7P/1PN1P3/PBPPQPP1/R3KBNR b KQkq - 3 6,i don't understand the sense of this move. 6...Nbc6 was better.
12,a6,a7a6,rnbqkb1r/1p2n1pp/p4p2/2ppp3/7P/1PN1P3/PBPPQPP1/R3KBNR w KQkq - 0 7,i don't understand the sense of this move. 6...Nbc6 was better.
13,O-O-O,e1c1,rnbqkb1r/1p2n1pp/p4p2/2ppp3/7P/1PN1P3/PBPPQPP1/2KR1BNR b kq - 1 7,white still make incoherent moves. he want to attack on Queen side. so there were no need to move b6. 8...Be6 was better.
14,Nbc6,b8c6,r1bqkb1r/1p2n1pp/p1n2p2/2ppp3/7P/1PN1P3/PBPPQPP1/2KR1BNR w kq - 2 8,white still make incoherent moves. he want to attack on Queen side. so there were no need to move b6. 8...Be6 was better.
15,f3,f2f3,r1bqkb1r/1p2n1pp/p1n2p2/2ppp3/7P/1PN1PP2/PBPPQ1P1/2KR1BNR b kq - 0 8,white still make incoherent moves. he want to attack on Queen side. so there were no need to move b6. 8...Be6 was better.
16,b6,b7b6,r1bqkb1r/4n1pp/ppn2p2/2ppp3/7P/1PN1PP2/PBPPQ1P1/2KR1BNR w kq - 0 9,white still make incoherent moves. he want to attack on Queen side. so there were no need to move b6. 8...Be6 was better.
17,e4,e3e4,r1bqkb1r/4n1pp/ppn2p2/2ppp3/4P2P/1PN2P2/PBPPQ1P1/2KR1BNR b kq - 0 9,This is a bad mistake.
18,d4,d5d4,r1bqkb1r/4n1pp/ppn2p2/2p1p3/3pP2P/1PN2P2/PBPPQ1P1/2KR1BNR w kq - 0 10,Nb1 hinds the king
19,Nb1,c3b1,r1bqkb1r/4n1pp/ppn2p2/2p1p3/3pP2P/1P3P2/PBPPQ1P1/1NKR1BNR b kq - 1 10,Nb1 hinds the king
20,Bd7,c8d7,r2qkb1r/3bn1pp/ppn2p2/2p1p3/3pP2P/1P3P2/PBPPQ1P1/1NKR1BNR w kq - 2 11,this is not a good move for 2 reasons. 1.Be6 was better 2.Nb4 threatens a2#in the next move.
21,g4,g2g4,r2qkb1r/3bn1pp/ppn2p2/2p1p3/3pP1PP/1P3P2/PBPPQ3/1NKR1BNR b kq - 0 11,white hasn't real targets on king side and he should care of king's health...
22,h6,h7h6,r2qkb1r/3bn1p1/ppn2p1p/2p1p3/3pP1PP/1P3P2/PBPPQ3/1NKR1BNR w kq - 0 12,There were no need of a defencing move.
23,d3,d2d3,r2qkb1r/3bn1p1/ppn2p1p/2p1p3/3pP1PP/1P1P1P2/PBP1Q3/1NKR1BNR b kq - 0 12,Black ignores 13...Nb4 and if 14.a3 Na2  15. Kd2 a4 with a violent attack.
24,a5,a6a5,r2qkb1r/3bn1p1/1pn2p1p/p1p1p3/3pP1PP/1P1P1P2/PBP1Q3/1NKR1BNR w kq - 0 13,Black ignores 13...Nb4 and if 14.a3 Na2  15. Kd2 a4 with a violent attack.
25,Bh3,f1h3,r2qkb1r/3bn1p1/1pn2p1p/p1p1p3/3pP1PP/1P1P1P1B/PBP1Q3/1NKR2NR b kq - 1 13,Black ignores 13...Nb4 and if 14.a3 Na2  15. Kd2 a4 with a violent attack.
26,Be6,d7e6,r2qkb1r/4n1p1/1pn1bp1p/p1p1p3/3pP1PP/1P1P1P1B/PBP1Q3/1NKR2NR w kq - 2 14,Black ignores 13...Nb4 and if 14.a3 Na2  15. Kd2 a4 with a violent attack.
27,Rf1,d1f1,r2qkb1r/4n1p1/1pn1bp1p/p1p1p3/3pP1PP/1P1P1P1B/PBP1Q3/1NK2RNR b kq - 3 14,too quit move. black could move a4 or Nb4.
28,Qd7,d8d7,r3kb1r/3qn1p1/1pn1bp1p/p1p1p3/3pP1PP/1P1P1P1B/PBP1Q3/1NK2RNR w kq - 4 15,too quit move. black could move a4 or Nb4.
29,h5,h4h5,r3kb1r/3qn1p1/1pn1bp1p/p1p1p2P/3pP1P1/1P1P1P1B/PBP1Q3/1NK2RNR b kq - 0 15,black still decide to not attack white's king.
30,g6,g7g6,r3kb1r/3qn3/1pn1bppp/p1p1p2P/3pP1P1/1P1P1P1B/PBP1Q3/1NK2RNR w kq - 0 16,black still decide to not attack white's king.
