N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,d4,d2d4,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,black finaly receives the message from earth that something went wrong with his game.the threath b6 is too strong to be ignored. offering an exchange doesn't seem to be too much of a price given the situation.
2,Nf6,g8f6,rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,black finaly receives the message from earth that something went wrong with his game.the threath b6 is too strong to be ignored. offering an exchange doesn't seem to be too much of a price given the situation.
3,c4,c2c4,rnbqkb1r/pppppppp/5n2/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,black finaly receives the message from earth that something went wrong with his game.the threath b6 is too strong to be ignored. offering an exchange doesn't seem to be too much of a price given the situation.
4,g6,g7g6,rnbqkb1r/pppppp1p/5np1/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,black finaly receives the message from earth that something went wrong with his game.the threath b6 is too strong to be ignored. offering an exchange doesn't seem to be too much of a price given the situation.
5,Nc3,b1c3,rnbqkb1r/pppppp1p/5np1/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,black finaly receives the message from earth that something went wrong with his game.the threath b6 is too strong to be ignored. offering an exchange doesn't seem to be too much of a price given the situation.
6,Bg7,f8g7,rnbqk2r/ppppppbp/5np1/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,black finaly receives the message from earth that something went wrong with his game.the threath b6 is too strong to be ignored. offering an exchange doesn't seem to be too much of a price given the situation.
7,Nf3,g1f3,rnbqk2r/ppppppbp/5np1/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 3 4,black finaly receives the message from earth that something went wrong with his game.the threath b6 is too strong to be ignored. offering an exchange doesn't seem to be too much of a price given the situation.
8,d6,d7d6,rnbqk2r/ppp1ppbp/3p1np1/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,black finaly receives the message from earth that something went wrong with his game.the threath b6 is too strong to be ignored. offering an exchange doesn't seem to be too much of a price given the situation.
9,e4,e2e4,rnbqk2r/ppp1ppbp/3p1np1/8/2PPP3/2N2N2/PP3PPP/R1BQKB1R b KQkq - 0 5,black finaly receives the message from earth that something went wrong with his game.the threath b6 is too strong to be ignored. offering an exchange doesn't seem to be too much of a price given the situation.
10,O-O,e8g8,rnbq1rk1/ppp1ppbp/3p1np1/8/2PPP3/2N2N2/PP3PPP/R1BQKB1R w KQ - 1 6,black finaly receives the message from earth that something went wrong with his game.the threath b6 is too strong to be ignored. offering an exchange doesn't seem to be too much of a price given the situation.
11,Be2,f1e2,rnbq1rk1/ppp1ppbp/3p1np1/8/2PPP3/2N2N2/PP2BPPP/R1BQK2R b KQ - 2 6,black finaly receives the message from earth that something went wrong with his game.the threath b6 is too strong to be ignored. offering an exchange doesn't seem to be too much of a price given the situation.
12,e5,e7e5,rnbq1rk1/ppp2pbp/3p1np1/4p3/2PPP3/2N2N2/PP2BPPP/R1BQK2R w KQ - 0 7,black finaly receives the message from earth that something went wrong with his game.the threath b6 is too strong to be ignored. offering an exchange doesn't seem to be too much of a price given the situation.
13,O-O,e1g1,rnbq1rk1/ppp2pbp/3p1np1/4p3/2PPP3/2N2N2/PP2BPPP/R1BQ1RK1 b - - 1 7,black finaly receives the message from earth that something went wrong with his game.the threath b6 is too strong to be ignored. offering an exchange doesn't seem to be too much of a price given the situation.
14,Nc6,b8c6,r1bq1rk1/ppp2pbp/2np1np1/4p3/2PPP3/2N2N2/PP2BPPP/R1BQ1RK1 w - - 2 8,black finaly receives the message from earth that something went wrong with his game.the threath b6 is too strong to be ignored. offering an exchange doesn't seem to be too much of a price given the situation.
15,d5,d4d5,r1bq1rk1/ppp2pbp/2np1np1/3Pp3/2P1P3/2N2N2/PP2BPPP/R1BQ1RK1 b - - 0 8,black finaly receives the message from earth that something went wrong with his game.the threath b6 is too strong to be ignored. offering an exchange doesn't seem to be too much of a price given the situation.
16,Ne7,c6e7,r1bq1rk1/ppp1npbp/3p1np1/3Pp3/2P1P3/2N2N2/PP2BPPP/R1BQ1RK1 w - - 1 9,black finaly receives the message from earth that something went wrong with his game.the threath b6 is too strong to be ignored. offering an exchange doesn't seem to be too much of a price given the situation.
17,Nd2,f3d2,r1bq1rk1/ppp1npbp/3p1np1/3Pp3/2P1P3/2N5/PP1NBPPP/R1BQ1RK1 b - - 2 9,black finaly receives the message from earth that something went wrong with his game.the threath b6 is too strong to be ignored. offering an exchange doesn't seem to be too much of a price given the situation.
18,Ne8,f6e8,r1bqnrk1/ppp1npbp/3p2p1/3Pp3/2P1P3/2N5/PP1NBPPP/R1BQ1RK1 w - - 3 10,black finaly receives the message from earth that something went wrong with his game.the threath b6 is too strong to be ignored. offering an exchange doesn't seem to be too much of a price given the situation.
19,b4,b2b4,r1bqnrk1/ppp1npbp/3p2p1/3Pp3/1PP1P3/2N5/P2NBPPP/R1BQ1RK1 b - - 0 10,black finaly receives the message from earth that something went wrong with his game.the threath b6 is too strong to be ignored. offering an exchange doesn't seem to be too much of a price given the situation.
20,f5,f7f5,r1bqnrk1/ppp1n1bp/3p2p1/3Ppp2/1PP1P3/2N5/P2NBPPP/R1BQ1RK1 w - - 0 11,black finaly receives the message from earth that something went wrong with his game.the threath b6 is too strong to be ignored. offering an exchange doesn't seem to be too much of a price given the situation.
21,a4,a2a4,r1bqnrk1/ppp1n1bp/3p2p1/3Ppp2/PPP1P3/2N5/3NBPPP/R1BQ1RK1 b - - 0 11,black finaly receives the message from earth that something went wrong with his game.the threath b6 is too strong to be ignored. offering an exchange doesn't seem to be too much of a price given the situation.
22,f4,f5f4,r1bqnrk1/ppp1n1bp/3p2p1/3Pp3/PPP1Pp2/2N5/3NBPPP/R1BQ1RK1 w - - 0 12,black finaly receives the message from earth that something went wrong with his game.the threath b6 is too strong to be ignored. offering an exchange doesn't seem to be too much of a price given the situation.
