N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,"Una vittoria non troppo meritata, ma comunque..."
2,d5,d7d5,rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,"Qua, la mia paura era f5!"
3,e5,e4e5,rnbqkbnr/ppp1pppp/8/3pP3/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 2,"Qua, la mia paura era f5!"
4,Bf5,c8f5,rn1qkbnr/ppp1pppp/8/3pPb2/8/8/PPPP1PPP/RNBQKBNR w KQkq - 1 3,"Qua, la mia paura era f5!"
5,d4,d2d4,rn1qkbnr/ppp1pppp/8/3pPb2/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,"Qua, la mia paura era f5!"
6,e6,e7e6,rn1qkbnr/ppp2ppp/4p3/3pPb2/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,"Qua, la mia paura era f5!"
7,Bd3,f1d3,rn1qkbnr/ppp2ppp/4p3/3pPb2/3P4/3B4/PPP2PPP/RNBQK1NR b KQkq - 1 4,"Qua, la mia paura era f5!"
8,Bxd3,f5d3,rn1qkbnr/ppp2ppp/4p3/3pP3/3P4/3b4/PPP2PPP/RNBQK1NR w KQkq - 0 5,"Qua, la mia paura era f5!"
9,Qxd3,d1d3,rn1qkbnr/ppp2ppp/4p3/3pP3/3P4/3Q4/PPP2PPP/RNB1K1NR b KQkq - 0 5,"Qua, la mia paura era f5!"
10,a6,a7a6,rn1qkbnr/1pp2ppp/p3p3/3pP3/3P4/3Q4/PPP2PPP/RNB1K1NR w KQkq - 0 6,"Qua, la mia paura era f5!"
11,Be3,c1e3,rn1qkbnr/1pp2ppp/p3p3/3pP3/3P4/3QB3/PPP2PPP/RN2K1NR b KQkq - 1 6,"Qua, la mia paura era f5!"
