N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,Still best by test even today.
2,e5,e7e5,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Still best by test even today.
3,f4,f2f4,rnbqkbnr/pppp1ppp/8/4p3/4PP2/8/PPPP2PP/RNBQKBNR b KQkq - 0 2,The gambit must be accepted!
4,exf4,e5f4,rnbqkbnr/pppp1ppp/8/8/4Pp2/8/PPPP2PP/RNBQKBNR w KQkq - 0 3,The gambit must be accepted!
5,Bc4,f1c4,rnbqkbnr/pppp1ppp/8/8/2B1Pp2/8/PPPP2PP/RNBQK1NR b KQkq - 1 3,La Bourdonnais wastes no time getting his counterattack going.
6,Qh4+,d8h4,rnb1kbnr/pppp1ppp/8/8/2B1Pp1q/8/PPPP2PP/RNBQK1NR w KQkq - 2 4,La Bourdonnais wastes no time getting his counterattack going.
7,Kf1,e1f1,rnb1kbnr/pppp1ppp/8/8/2B1Pp1q/8/PPPP2PP/RNBQ1KNR b kq - 3 4,Opening a line for his QB to join the fray.
8,d6,d7d6,rnb1kbnr/ppp2ppp/3p4/8/2B1Pp1q/8/PPPP2PP/RNBQ1KNR w kq - 0 5,Opening a line for his QB to join the fray.
9,d4,d2d4,rnb1kbnr/ppp2ppp/3p4/8/2BPPp1q/8/PPP3PP/RNBQ1KNR b kq - 0 5,Challenging McDonnell's Queen.
10,Bg4,c8g4,rn2kbnr/ppp2ppp/3p4/8/2BPPpbq/8/PPP3PP/RNBQ1KNR w kq - 1 6,Challenging McDonnell's Queen.
11,Qd3,d1d3,rn2kbnr/ppp2ppp/3p4/8/2BPPpbq/3Q4/PPP3PP/RNB2KNR b kq - 2 6,Preparing to castle into safety on the Q-side.
12,Nc6,b8c6,r3kbnr/ppp2ppp/2np4/8/2BPPpbq/3Q4/PPP3PP/RNB2KNR w kq - 3 7,Preparing to castle into safety on the Q-side.
13,Bxf7+,c4f7,r3kbnr/ppp2Bpp/2np4/8/3PPpbq/3Q4/PPP3PP/RNB2KNR b kq - 0 7,"McDonnell has prevented the castling, but at the cost of a piece."
14,Kxf7,e8f7,r4bnr/ppp2kpp/2np4/8/3PPpbq/3Q4/PPP3PP/RNB2KNR w - - 0 8,"McDonnell has prevented the castling, but at the cost of a piece."
15,Qb3+,d3b3,r4bnr/ppp2kpp/2np4/8/3PPpbq/1Q6/PPP3PP/RNB2KNR b - - 1 8,Seeking shelter amidst the clutter on the K-side.
16,Kg6,f7g6,r4bnr/ppp3pp/2np2k1/8/3PPpbq/1Q6/PPP3PP/RNB2KNR w - - 2 9,Seeking shelter amidst the clutter on the K-side.
17,Qxb7,b3b7,r4bnr/pQp3pp/2np2k1/8/3PPpbq/8/PPP3PP/RNB2KNR b - - 0 9,Sacrificing a Rook to advance his counterattack and put the White Queen out of play.
18,Nxd4,c6d4,r4bnr/pQp3pp/3p2k1/8/3nPpbq/8/PPP3PP/RNB2KNR w - - 0 10,Sacrificing a Rook to advance his counterattack and put the White Queen out of play.
19,Qxa8,b7a8,Q4bnr/p1p3pp/3p2k1/8/3nPpbq/8/PPP3PP/RNB2KNR b - - 0 10,Calling up more reserves. La Bourdonnais now has 4 pieces in play to McDonnell's one.
20,Nf6,g8f6,Q4b1r/p1p3pp/3p1nk1/8/3nPpbq/8/PPP3PP/RNB2KNR w - - 1 11,Calling up more reserves. La Bourdonnais now has 4 pieces in play to McDonnell's one.
21,Na3,b1a3,Q4b1r/p1p3pp/3p1nk1/8/3nPpbq/N7/PPP3PP/R1B2KNR b - - 2 11,Opening up more space around the White King.
22,f3,f4f3,Q4b1r/p1p3pp/3p1nk1/8/3nP1bq/N4p2/PPP3PP/R1B2KNR w - - 0 12,Opening up more space around the White King.
23,g3,g2g3,Q4b1r/p1p3pp/3p1nk1/8/3nP1bq/N4pP1/PPP4P/R1B2KNR b - - 0 12,Pressing onward.
24,Bh3+,g4h3,Q4b1r/p1p3pp/3p1nk1/8/3nP2q/N4pPb/PPP4P/R1B2KNR w - - 1 13,Pressing onward.
25,Ke1,f1e1,Q4b1r/p1p3pp/3p1nk1/8/3nP2q/N4pPb/PPP4P/R1B1K1NR b - - 2 13,Maintaining his positional advantage.
26,Qg4,h4g4,Q4b1r/p1p3pp/3p1nk1/8/3nP1q1/N4pPb/PPP4P/R1B1K1NR w - - 3 14,Maintaining his positional advantage.
27,Be3,c1e3,Q4b1r/p1p3pp/3p1nk1/8/3nP1q1/N3BpPb/PPP4P/R3K1NR b - - 4 14,Continuing to press the attack.
28,d5,d6d5,Q4b1r/p1p3pp/5nk1/3p4/3nP1q1/N3BpPb/PPP4P/R3K1NR w - - 0 15,Continuing to press the attack.
29,Qxa7,a8a7,5b1r/Q1p3pp/5nk1/3p4/3nP1q1/N3BpPb/PPP4P/R3K1NR b - - 0 15,Keeping the White Queen away from the action.
30,Nc6,d4c6,5b1r/Q1p3pp/2n2nk1/3p4/4P1q1/N3BpPb/PPP4P/R3K1NR w - - 1 16,Keeping the White Queen away from the action.
31,Qxc7,a7c7,5b1r/2Q3pp/2n2nk1/3p4/4P1q1/N3BpPb/PPP4P/R3K1NR b - - 0 16,Moving a defender out of the way.
32,d4,d5d4,5b1r/2Q3pp/2n2nk1/8/3pP1q1/N3BpPb/PPP4P/R3K1NR w - - 0 17,Moving a defender out of the way.
33,Bd2,e3d2,5b1r/2Q3pp/2n2nk1/8/3pP1q1/N4pPb/PPPB3P/R3K1NR b - - 1 17,Closing in.
34,Qxe4+,g4e4,5b1r/2Q3pp/2n2nk1/8/3pq3/N4pPb/PPPB3P/R3K1NR w - - 0 18,Closing in.
35,Kd1,e1d1,5b1r/2Q3pp/2n2nk1/8/3pq3/N4pPb/PPPB3P/R2K2NR b - - 1 18,With dangerous promotion threats.
36,f2,f3f2,5b1r/2Q3pp/2n2nk1/8/3pq3/N5Pb/PPPB1p1P/R2K2NR w - - 0 19,With dangerous promotion threats.
37,Nxh3,g1h3,5b1r/2Q3pp/2n2nk1/8/3pq3/N5PN/PPPB1p1P/R2K3R b - - 0 19,Forcing White's response.
38,Qf3+,e4f3,5b1r/2Q3pp/2n2nk1/8/3p4/N4qPN/PPPB1p1P/R2K3R w - - 1 20,Forcing White's response.
39,Kc1,d1c1,5b1r/2Q3pp/2n2nk1/8/3p4/N4qPN/PPPB1p1P/R1K4R b - - 2 20,With mate to follow. McDonnell resigns here.
40,Qxh1+,f3h1,5b1r/2Q3pp/2n2nk1/8/3p4/N5PN/PPPB1p1P/R1K4q w - - 0 21,With mate to follow. McDonnell resigns here.
