N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,"I earned a small advantage here, and I should have played conservatively at this point, but I didn't ..."
2,c5,c7c5,rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,"I earned a small advantage here, and I should have played conservatively at this point, but I didn't ..."
3,Bc4,f1c4,rnbqkbnr/pp1ppppp/8/2p5/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq - 1 2,"I earned a small advantage here, and I should have played conservatively at this point, but I didn't ..."
4,Nc6,b8c6,r1bqkbnr/pp1ppppp/2n5/2p5/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 2 3,"I earned a small advantage here, and I should have played conservatively at this point, but I didn't ..."
5,d4,d2d4,r1bqkbnr/pp1ppppp/2n5/2p5/2BPP3/8/PPP2PPP/RNBQK1NR b KQkq - 0 3,"I earned a small advantage here, and I should have played conservatively at this point, but I didn't ..."
6,cxd4,c5d4,r1bqkbnr/pp1ppppp/2n5/8/2BpP3/8/PPP2PPP/RNBQK1NR w KQkq - 0 4,"I earned a small advantage here, and I should have played conservatively at this point, but I didn't ..."
7,Nf3,g1f3,r1bqkbnr/pp1ppppp/2n5/8/2BpP3/5N2/PPP2PPP/RNBQK2R b KQkq - 1 4,"I earned a small advantage here, and I should have played conservatively at this point, but I didn't ..."
8,Nf6,g8f6,r1bqkb1r/pp1ppppp/2n2n2/8/2BpP3/5N2/PPP2PPP/RNBQK2R w KQkq - 2 5,"I earned a small advantage here, and I should have played conservatively at this point, but I didn't ..."
9,Nxd4,f3d4,r1bqkb1r/pp1ppppp/2n2n2/8/2BNP3/8/PPP2PPP/RNBQK2R b KQkq - 0 5,"I earned a small advantage here, and I should have played conservatively at this point, but I didn't ..."
10,Nxe4,f6e4,r1bqkb1r/pp1ppppp/2n5/8/2BNn3/8/PPP2PPP/RNBQK2R w KQkq - 0 6,"I earned a small advantage here, and I should have played conservatively at this point, but I didn't ..."
11,Nxc6,d4c6,r1bqkb1r/pp1ppppp/2N5/8/2B1n3/8/PPP2PPP/RNBQK2R b KQkq - 0 6,"I earned a small advantage here, and I should have played conservatively at this point, but I didn't ..."
12,bxc6,b7c6,r1bqkb1r/p2ppppp/2p5/8/2B1n3/8/PPP2PPP/RNBQK2R w KQkq - 0 7,"I earned a small advantage here, and I should have played conservatively at this point, but I didn't ..."
13,Qf3,d1f3,r1bqkb1r/p2ppppp/2p5/8/2B1n3/5Q2/PPP2PPP/RNB1K2R b KQkq - 1 7,"1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nxc6 bxc6 6. Bc4 Nxe4 7. Qf3 d5 8. Bd3 Nf6
B33: Sicilian defence"
14,d5,d7d5,r1bqkb1r/p3pppp/2p5/3p4/2B1n3/5Q2/PPP2PPP/RNB1K2R w KQkq - 0 8,"1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nxc6 bxc6 6. Bc4 Nxe4 7. Qf3 d5 8. Bd3 Nf6
B33: Sicilian defence"
15,Bd3,c4d3,r1bqkb1r/p3pppp/2p5/3p4/4n3/3B1Q2/PPP2PPP/RNB1K2R b KQkq - 1 8,"1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nxc6 bxc6 6. Bc4 Nxe4 7. Qf3 d5 8. Bd3 Nf6
B33: Sicilian defence"
16,Nf6,e4f6,r1bqkb1r/p3pppp/2p2n2/3p4/8/3B1Q2/PPP2PPP/RNB1K2R w KQkq - 2 9,"1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nxc6 bxc6 6. Bc4 Nxe4 7. Qf3 d5 8. Bd3 Nf6
B33: Sicilian defence"
17,Bg5,c1g5,r1bqkb1r/p3pppp/2p2n2/3p2B1/8/3B1Q2/PPP2PPP/RN2K2R b KQkq - 3 9,This was a crazy gambit that most definitely did not pay off in the end.  I should have retreated the g4 bishop and developed my f8 bishop and maybe put myself into a castle O-O.
