N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,Opting for a Russian opening.
2,e5,e7e5,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Opting for a Russian opening.
3,Nf3,g1f3,rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,Opting for a Russian opening.
4,Nf6,g8f6,rnbqkb1r/pppp1ppp/5n2/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,Opting for a Russian opening.
5,Nxe5,f3e5,rnbqkb1r/pppp1ppp/5n2/4N3/4P3/8/PPPP1PPP/RNBQKB1R b KQkq - 0 3,"This is the most common line in the Russian Opening. By moving his pawn a second time, Black opens up- the otherwise closed f8-bishop, and cements his knight on e4 for the foreseeable future."
6,d6,d7d6,rnbqkb1r/ppp2ppp/3p1n2/4N3/4P3/8/PPPP1PPP/RNBQKB1R w KQkq - 0 4,"This is the most common line in the Russian Opening. By moving his pawn a second time, Black opens up- the otherwise closed f8-bishop, and cements his knight on e4 for the foreseeable future."
7,Nf3,e5f3,rnbqkb1r/ppp2ppp/3p1n2/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 4,"This is the most common line in the Russian Opening. By moving his pawn a second time, Black opens up- the otherwise closed f8-bishop, and cements his knight on e4 for the foreseeable future."
8,Nxe4,f6e4,rnbqkb1r/ppp2ppp/3p4/8/4n3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 5,"This is the most common line in the Russian Opening. By moving his pawn a second time, Black opens up- the otherwise closed f8-bishop, and cements his knight on e4 for the foreseeable future."
9,d4,d2d4,rnbqkb1r/ppp2ppp/3p4/8/3Pn3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 5,"This is the most common line in the Russian Opening. By moving his pawn a second time, Black opens up- the otherwise closed f8-bishop, and cements his knight on e4 for the foreseeable future."
10,d5,d6d5,rnbqkb1r/ppp2ppp/8/3p4/3Pn3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 6,"This is the most common line in the Russian Opening. By moving his pawn a second time, Black opens up- the otherwise closed f8-bishop, and cements his knight on e4 for the foreseeable future."
11,Bd3,f1d3,rnbqkb1r/ppp2ppp/8/3p4/3Pn3/3B1N2/PPP2PPP/RNBQK2R b KQkq - 1 6,"As chess 'law' dictates, bombarding the outpost with all force possible."
12,Be7,f8e7,rnbqk2r/ppp1bppp/8/3p4/3Pn3/3B1N2/PPP2PPP/RNBQK2R w KQkq - 2 7,"This move is very rarely played now, since 6...Be6 just offers up so many more active options. As we will see, the e7-bishop becomes a heavy burden....."
13,O-O,e1g1,rnbqk2r/ppp1bppp/8/3p4/3Pn3/3B1N2/PPP2PPP/RNBQ1RK1 b kq - 3 7,Now we see Black having his only central pawn - crucial to the defence of the e4-knight - being undermined.
14,Nc6,b8c6,r1bqk2r/ppp1bppp/2n5/3p4/3Pn3/3B1N2/PPP2PPP/RNBQ1RK1 w kq - 4 8,Now we see Black having his only central pawn - crucial to the defence of the e4-knight - being undermined.
15,c4,c2c4,r1bqk2r/ppp1bppp/2n5/3p4/2PPn3/3B1N2/PP3PPP/RNBQ1RK1 b kq - 0 8,Now we see Black having his only central pawn - crucial to the defence of the e4-knight - being undermined.
16,Nb4,c6b4,r1bqk2r/ppp1bppp/8/3p4/1nPPn3/3B1N2/PP3PPP/RNBQ1RK1 w kq - 1 9,"Black decides to remove a dangerous piece, but note he could have developed further here."
17,cxd5,c4d5,r1bqk2r/ppp1bppp/8/3P4/1n1Pn3/3B1N2/PP3PPP/RNBQ1RK1 b kq - 0 9,"White decides to lure the queens into play, but you will now see the e5-square become ridiculously weak, a feature that wouldn't be present in this game if Black had played 6...Bd6"
