N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,This is always my first move
2,c5,c7c5,rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,thats a good move for black
3,Nf3,g1f3,rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,here ends the Opening session
4,e6,e7e6,rnbqkbnr/pp1p1ppp/4p3/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,here ends the Opening session
5,Nc3,b1c3,rnbqkbnr/pp1p1ppp/4p3/2p5/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 1 3,here ends the Opening session
6,Nc6,b8c6,r1bqkbnr/pp1p1ppp/2n1p3/2p5/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 2 4,here ends the Opening session
7,d4,d2d4,r1bqkbnr/pp1p1ppp/2n1p3/2p5/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 0 4,here ends the Opening session
8,cxd4,c5d4,r1bqkbnr/pp1p1ppp/2n1p3/8/3pP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 5,i was prepared for this move so i did....
9,Nxd4,f3d4,r1bqkbnr/pp1p1ppp/2n1p3/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 0 5,i was prepared for this move so i did....
10,Bc5,f8c5,r1bqk1nr/pp1p1ppp/2n1p3/2b5/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 1 6,i was prepared for this move so i did....
11,Be3,c1e3,r1bqk1nr/pp1p1ppp/2n1p3/2b5/3NP3/2N1B3/PPP2PPP/R2QKB1R b KQkq - 2 6,i was prepared for this move so i did....
12,Qb6,d8b6,r1b1k1nr/pp1p1ppp/1qn1p3/2b5/3NP3/2N1B3/PPP2PPP/R2QKB1R w KQkq - 3 7,i was prepared for this move so i did....
13,Na4,c3a4,r1b1k1nr/pp1p1ppp/1qn1p3/2b5/N2NP3/4B3/PPP2PPP/R2QKB1R b KQkq - 4 7,i was prepared for this move so i did....
14,Qa5+,b6a5,r1b1k1nr/pp1p1ppp/2n1p3/q1b5/N2NP3/4B3/PPP2PPP/R2QKB1R w KQkq - 5 8,i was prepared for this move so i did....
15,c3,c2c3,r1b1k1nr/pp1p1ppp/2n1p3/q1b5/N2NP3/2P1B3/PP3PPP/R2QKB1R b KQkq - 0 8,this;  with this move i defend my king and defend my knight with my queen
16,Be7,c5e7,r1b1k1nr/pp1pbppp/2n1p3/q7/N2NP3/2P1B3/PP3PPP/R2QKB1R w KQkq - 1 9,i did this so i could dominate the d file
17,Nxc6,d4c6,r1b1k1nr/pp1pbppp/2N1p3/q7/N3P3/2P1B3/PP3PPP/R2QKB1R b KQkq - 0 9,i did this so i could dominate the d file
18,bxc6,b7c6,r1b1k1nr/p2pbppp/2p1p3/q7/N3P3/2P1B3/PP3PPP/R2QKB1R w KQkq - 0 10,i did this so i could dominate the d file
19,b4,b2b4,r1b1k1nr/p2pbppp/2p1p3/q7/NP2P3/2P1B3/P4PPP/R2QKB1R b KQkq - 0 10,i did this so i could dominate the d file
20,Qc7,a5c7,r1b1k1nr/p1qpbppp/2p1p3/8/NP2P3/2P1B3/P4PPP/R2QKB1R w KQkq - 1 11,i did this so i could dominate the d file
21,Bd4,e3d4,r1b1k1nr/p1qpbppp/2p1p3/8/NP1BP3/2P5/P4PPP/R2QKB1R b KQkq - 2 11,i did this so i could dominate the d file
22,Nf6,g8f6,r1b1k2r/p1qpbppp/2p1pn2/8/NP1BP3/2P5/P4PPP/R2QKB1R w KQkq - 3 12,i did this so i could dominate the d file
23,Bxf6,d4f6,r1b1k2r/p1qpbppp/2p1pB2/8/NP2P3/2P5/P4PPP/R2QKB1R b KQkq - 0 12,i did this so i could dominate the d file
24,Bxf6,e7f6,r1b1k2r/p1qp1ppp/2p1pb2/8/NP2P3/2P5/P4PPP/R2QKB1R w KQkq - 0 13,i did this so i could dominate the d file
25,Bd3,f1d3,r1b1k2r/p1qp1ppp/2p1pb2/8/NP2P3/2PB4/P4PPP/R2QK2R b KQkq - 1 13,i did this so i could dominate the d file
26,a5,a7a5,r1b1k2r/2qp1ppp/2p1pb2/p7/NP2P3/2PB4/P4PPP/R2QK2R w KQkq - 0 14,i did this so i could dominate the d file
27,O-O,e1g1,r1b1k2r/2qp1ppp/2p1pb2/p7/NP2P3/2PB4/P4PPP/R2Q1RK1 b kq - 1 14,i did this so i could dominate the d file
28,axb4,a5b4,r1b1k2r/2qp1ppp/2p1pb2/8/Np2P3/2PB4/P4PPP/R2Q1RK1 w kq - 0 15,i did this so i could dominate the d file
29,Rc1,a1c1,r1b1k2r/2qp1ppp/2p1pb2/8/Np2P3/2PB4/P4PPP/2RQ1RK1 b kq - 1 15,i did this so i could dominate the d file
30,Ba6,c8a6,r3k2r/2qp1ppp/b1p1pb2/8/Np2P3/2PB4/P4PPP/2RQ1RK1 w kq - 2 16,i did this so i could dominate the d file
31,Bxa6,d3a6,r3k2r/2qp1ppp/B1p1pb2/8/Np2P3/2P5/P4PPP/2RQ1RK1 b kq - 0 16,i did this so i could dominate the d file
32,Rxa6,a8a6,4k2r/2qp1ppp/r1p1pb2/8/Np2P3/2P5/P4PPP/2RQ1RK1 w k - 0 17,i did this so i could dominate the d file
33,cxb4,c3b4,4k2r/2qp1ppp/r1p1pb2/8/NP2P3/8/P4PPP/2RQ1RK1 b k - 0 17,i did this so i could dominate the d file
34,O-O,e8g8,5rk1/2qp1ppp/r1p1pb2/8/NP2P3/8/P4PPP/2RQ1RK1 w - - 1 18,i did this so i could dominate the d file
35,b5,b4b5,5rk1/2qp1ppp/r1p1pb2/1P6/N3P3/8/P4PPP/2RQ1RK1 b - - 0 18,i did this so i could dominate the d file
36,Raa8,a6a8,r4rk1/2qp1ppp/2p1pb2/1P6/N3P3/8/P4PPP/2RQ1RK1 w - - 1 19,i did this so i could dominate the d file
37,b6,b5b6,r4rk1/2qp1ppp/1Pp1pb2/8/N3P3/8/P4PPP/2RQ1RK1 b - - 0 19,i did this so i could dominate the d file
38,Qb7,c7b7,r4rk1/1q1p1ppp/1Pp1pb2/8/N3P3/8/P4PPP/2RQ1RK1 w - - 1 20,i did this so i could dominate the d file
39,f4,f2f4,r4rk1/1q1p1ppp/1Pp1pb2/8/N3PP2/8/P5PP/2RQ1RK1 b - - 0 20,i did this so i could dominate the d file
40,Rfd8,f8d8,r2r2k1/1q1p1ppp/1Pp1pb2/8/N3PP2/8/P5PP/2RQ1RK1 w - - 1 21,i did this so i could dominate the d file
41,e5,e4e5,r2r2k1/1q1p1ppp/1Pp1pb2/4P3/N4P2/8/P5PP/2RQ1RK1 b - - 0 21,i did this so i could dominate the d file
42,Be7,f6e7,r2r2k1/1q1pbppp/1Pp1p3/4P3/N4P2/8/P5PP/2RQ1RK1 w - - 1 22,i did this so i could dominate the d file
43,Rb1,c1b1,r2r2k1/1q1pbppp/1Pp1p3/4P3/N4P2/8/P5PP/1R1Q1RK1 b - - 2 22,i did this so i could dominate the d file
44,Ra5,a8a5,3r2k1/1q1pbppp/1Pp1p3/r3P3/N4P2/8/P5PP/1R1Q1RK1 w - - 3 23,i did this so i could dominate the d file
45,Rf3,f1f3,3r2k1/1q1pbppp/1Pp1p3/r3P3/N4P2/5R2/P5PP/1R1Q2K1 b - - 4 23,i did this so i could dominate the d file
46,Rda8,d8a8,r5k1/1q1pbppp/1Pp1p3/r3P3/N4P2/5R2/P5PP/1R1Q2K1 w - - 5 24,i did this so i could dominate the d file
47,Rd3,f3d3,r5k1/1q1pbppp/1Pp1p3/r3P3/N4P2/3R4/P5PP/1R1Q2K1 b - - 6 24,i did this so i could dominate the d file
48,Ra5xa4,a5a4,r5k1/1q1pbppp/1Pp1p3/4P3/r4P2/3R4/P5PP/1R1Q2K1 w - - 0 25,i let him take my knight so i could do this...
49,Rxd7,d3d7,r5k1/1q1Rbppp/1Pp1p3/4P3/r4P2/8/P5PP/1R1Q2K1 b - - 0 25,this
50,Bc5+,e7c5,r5k1/1q1R1ppp/1Pp1p3/2b1P3/r4P2/8/P5PP/1R1Q2K1 w - - 1 26,he got away with his bishop and checked me
