N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,"This variation frees Black's game and is therefore usually not adopted. However, with Spielmann sitting at the board..."
2,e6,e7e6,rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,"This variation frees Black's game and is therefore usually not adopted. However, with Spielmann sitting at the board..."
3,d4,d2d4,rnbqkbnr/pppp1ppp/4p3/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,"This variation frees Black's game and is therefore usually not adopted. However, with Spielmann sitting at the board..."
4,d5,d7d5,rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,"This variation frees Black's game and is therefore usually not adopted. However, with Spielmann sitting at the board..."
5,Nc3,b1c3,rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 1 3,"This variation frees Black's game and is therefore usually not adopted. However, with Spielmann sitting at the board..."
6,Nf6,g8f6,rnbqkb1r/ppp2ppp/4pn2/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq - 2 4,"This variation frees Black's game and is therefore usually not adopted. However, with Spielmann sitting at the board..."
7,exd5,e4d5,rnbqkb1r/ppp2ppp/4pn2/3P4/3P4/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 4,"This variation frees Black's game and is therefore usually not adopted. However, with Spielmann sitting at the board..."
8,exd5,e6d5,rnbqkb1r/ppp2ppp/5n2/3p4/3P4/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 5,Unpinning and clearing the way to castle.
9,Bg5,c1g5,rnbqkb1r/ppp2ppp/5n2/3p2B1/3P4/2N5/PPP2PPP/R2QKBNR b KQkq - 1 5,Unpinning and clearing the way to castle.
10,Be7,f8e7,rnbqk2r/ppp1bppp/5n2/3p2B1/3P4/2N5/PPP2PPP/R2QKBNR w KQkq - 2 6,Unpinning and clearing the way to castle.
11,Bd3,f1d3,rnbqk2r/ppp1bppp/5n2/3p2B1/3P4/2NB4/PPP2PPP/R2QK1NR b KQkq - 3 6,"If anything, it is Wahle's position that looks more aggressive."
12,Nc6,b8c6,r1bqk2r/ppp1bppp/2n2n2/3p2B1/3P4/2NB4/PPP2PPP/R2QK1NR w KQkq - 4 7,"If anything, it is Wahle's position that looks more aggressive."
13,Nge2,g1e2,r1bqk2r/ppp1bppp/2n2n2/3p2B1/3P4/2NB4/PPP1NPPP/R2QK2R b KQkq - 5 7,"If anything, it is Wahle's position that looks more aggressive."
14,Nb4,c6b4,r1bqk2r/ppp1bppp/5n2/3p2B1/1n1P4/2NB4/PPP1NPPP/R2QK2R w KQkq - 6 8,"If anything, it is Wahle's position that looks more aggressive."
15,Ng3,e2g3,r1bqk2r/ppp1bppp/5n2/3p2B1/1n1P4/2NB2N1/PPP2PPP/R2QK2R b KQkq - 7 8,"Removing the KB, usually a vital piece for White in a French Defense attack."
16,Nxd3+,b4d3,r1bqk2r/ppp1bppp/5n2/3p2B1/3P4/2Nn2N1/PPP2PPP/R2QK2R w KQkq - 0 9,"Removing the KB, usually a vital piece for White in a French Defense attack."
17,Qxd3,d1d3,r1bqk2r/ppp1bppp/5n2/3p2B1/3P4/2NQ2N1/PPP2PPP/R3K2R b KQkq - 0 9,Centralizing his Q with the recapture.
18,g6,g7g6,r1bqk2r/ppp1bp1p/5np1/3p2B1/3P4/2NQ2N1/PPP2PPP/R3K2R w KQkq - 0 10,"This may well be the losing move! It severely weakens the K-side, especially the black squares."
19,O-O,e1g1,r1bqk2r/ppp1bp1p/5np1/3p2B1/3P4/2NQ2N1/PPP2PPP/R4RK1 b kq - 1 10,Spielmann begins concentrating his forces on the K-side.
20,c6,c7c6,r1bqk2r/pp2bp1p/2p2np1/3p2B1/3P4/2NQ2N1/PPP2PPP/R4RK1 w kq - 0 11,Spielmann begins concentrating his forces on the K-side.
21,Rae1,a1e1,r1bqk2r/pp2bp1p/2p2np1/3p2B1/3P4/2NQ2N1/PPP2PPP/4RRK1 b kq - 1 11,Spielmann begins concentrating his forces on the K-side.
22,O-O,e8g8,r1bq1rk1/pp2bp1p/2p2np1/3p2B1/3P4/2NQ2N1/PPP2PPP/4RRK1 w - - 2 12,If Black had not played 9 P-KN3?? this would secure the King behind a solid defensive wall.
23,Rxe7,e1e7,r1bq1rk1/pp2Rp1p/2p2np1/3p2B1/3P4/2NQ2N1/PPP2PPP/5RK1 b - - 0 12,To create a pin.
24,Qxe7,d8e7,r1b2rk1/pp2qp1p/2p2np1/3p2B1/3P4/2NQ2N1/PPP2PPP/5RK1 w - - 0 13,"Forced. Now the Knight is not only pinned, but it lacks Pawn protection thanks to 9 P-KN3??"
25,Qf3,d3f3,r1b2rk1/pp2qp1p/2p2np1/3p2B1/3P4/2N2QN1/PPP2PPP/5RK1 b - - 1 13,Applying more pressure to the pinned and helpless Knight.
