N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,Nf3,g1f3,rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,Not often played.
2,Nf6,g8f6,rnbqkb1r/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 2 2,Not often played.
3,Nc3,b1c3,rnbqkb1r/pppppppp/5n2/8/8/2N2N2/PPPPPPPP/R1BQKB1R b KQkq - 3 2,Not often played.
4,d5,d7d5,rnbqkb1r/ppp1pppp/5n2/3p4/8/2N2N2/PPPPPPPP/R1BQKB1R w KQkq - 0 3,Not often played.
5,d4,d2d4,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/2N2N2/PPP1PPPP/R1BQKB1R b KQkq - 0 3,Not often played.
6,Bf5,c8f5,rn1qkb1r/ppp1pppp/5n2/3p1b2/3P4/2N2N2/PPP1PPPP/R1BQKB1R w KQkq - 1 4,Not often played.
7,e3,e2e3,rn1qkb1r/ppp1pppp/5n2/3p1b2/3P4/2N1PN2/PPP2PPP/R1BQKB1R b KQkq - 0 4,Not often played.
8,e6,e7e6,rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P4/2N1PN2/PPP2PPP/R1BQKB1R w KQkq - 0 5,Not often played.
9,Ne5,f3e5,rn1qkb1r/ppp2ppp/4pn2/3pNb2/3P4/2N1P3/PPP2PPP/R1BQKB1R b KQkq - 1 5,Not often played.
10,Nbd7,b8d7,r2qkb1r/pppn1ppp/4pn2/3pNb2/3P4/2N1P3/PPP2PPP/R1BQKB1R w KQkq - 2 6,Black has an advantage in development which will tell.
11,Bd3,f1d3,r2qkb1r/pppn1ppp/4pn2/3pNb2/3P4/2NBP3/PPP2PPP/R1BQK2R b KQkq - 3 6,Black has an advantage in development which will tell.
12,Bxd3,f5d3,r2qkb1r/pppn1ppp/4pn2/3pN3/3P4/2NbP3/PPP2PPP/R1BQK2R w KQkq - 0 7,Black has an advantage in development which will tell.
