N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,d4,d2d4,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,"I've handled the opening better than my opponent, and the result of this should be a long endgame were I had a strategic objective in the attack of an isolated pawn with bishop plus knight against double knights, but then opponent blundered a piece for a pawn, in a other wise controlled position, which eased my win..."
2,Nf6,g8f6,rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,"in the game Roggon Jacob (GER) - Jachnowitsch Kristjan-John, Neumuenster (Germany), 2002, white played Bg3 and the game ended in a draw"
3,c4,c2c4,rnbqkb1r/pppppppp/5n2/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,"in the game Roggon Jacob (GER) - Jachnowitsch Kristjan-John, Neumuenster (Germany), 2002, white played Bg3 and the game ended in a draw"
4,g6,g7g6,rnbqkb1r/pppppp1p/5np1/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,"in the game Roggon Jacob (GER) - Jachnowitsch Kristjan-John, Neumuenster (Germany), 2002, white played Bg3 and the game ended in a draw"
5,Nc3,b1c3,rnbqkb1r/pppppp1p/5np1/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,"in the game Roggon Jacob (GER) - Jachnowitsch Kristjan-John, Neumuenster (Germany), 2002, white played Bg3 and the game ended in a draw"
6,d5,d7d5,rnbqkb1r/ppp1pp1p/5np1/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,"in the game Roggon Jacob (GER) - Jachnowitsch Kristjan-John, Neumuenster (Germany), 2002, white played Bg3 and the game ended in a draw"
7,Bf4,c1f4,rnbqkb1r/ppp1pp1p/5np1/3p4/2PP1B2/2N5/PP2PPPP/R2QKBNR b KQkq - 1 4,"in the game Roggon Jacob (GER) - Jachnowitsch Kristjan-John, Neumuenster (Germany), 2002, white played Bg3 and the game ended in a draw"
8,Bg7,f8g7,rnbqk2r/ppp1ppbp/5np1/3p4/2PP1B2/2N5/PP2PPPP/R2QKBNR w KQkq - 2 5,"in the game Roggon Jacob (GER) - Jachnowitsch Kristjan-John, Neumuenster (Germany), 2002, white played Bg3 and the game ended in a draw"
9,e3,e2e3,rnbqk2r/ppp1ppbp/5np1/3p4/2PP1B2/2N1P3/PP3PPP/R2QKBNR b KQkq - 0 5,"in the game Roggon Jacob (GER) - Jachnowitsch Kristjan-John, Neumuenster (Germany), 2002, white played Bg3 and the game ended in a draw"
10,dxc4,d5c4,rnbqk2r/ppp1ppbp/5np1/8/2pP1B2/2N1P3/PP3PPP/R2QKBNR w KQkq - 0 6,"in the game Roggon Jacob (GER) - Jachnowitsch Kristjan-John, Neumuenster (Germany), 2002, white played Bg3 and the game ended in a draw"
