N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,"Hot on the previous night's lucky win for the 1st Team, last night was a return to Earth with this exciting game, lost in a rush of blood to the head on my part.  I open with my usual 1. e4 - I prefer tactical scrambles to strategic tussles on the whole, even though I'm prone to slipping up in the process ..."
2,c5,c7c5,rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,"The Sicilian, an opening to prefer to play as Black, as it's very resourceful in counter-attacking options."
3,Nf3,g1f3,rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,Typical of the Najdorf or the Dragon variations.
4,d6,d7d6,rnbqkbnr/pp2pppp/3p4/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,Typical of the Najdorf or the Dragon variations.
5,d4,d2d4,rnbqkbnr/pp2pppp/3p4/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,Typical of the Najdorf or the Dragon variations.
6,cxd4,c5d4,rnbqkbnr/pp2pppp/3p4/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,Typical of the Najdorf or the Dragon variations.
7,Nxd4,f3d4,rnbqkbnr/pp2pppp/3p4/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,Typical of the Najdorf or the Dragon variations.
8,Nf6,g8f6,rnbqkb1r/pp2pppp/3p1n2/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5,Typical of the Najdorf or the Dragon variations.
9,Nc3,b1c3,rnbqkb1r/pp2pppp/3p1n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 2 5,Typical of the Najdorf or the Dragon variations.
10,a6,a7a6,rnbqkb1r/1p2pppp/p2p1n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 6,Typical of the Najdorf or the Dragon variations.
11,Bc4,f1c4,rnbqkb1r/1p2pppp/p2p1n2/8/2BNP3/2N5/PPP2PPP/R1BQK2R b KQkq - 1 6,"I've liked this move ever since I went to see the 17th game in the Short - Kasparov World Championship match in London.  6. Bg5 is probably the most common alternative, though the English Attack, characterised by f3 and Be3 is also very popular."
12,e6,e7e6,rnbqkb1r/1p3ppp/p2ppn2/8/2BNP3/2N5/PPP2PPP/R1BQK2R w KQkq - 0 7,Confirming the Najdorf rather than the Dragon (6....g6).
13,Bb3,c4b3,rnbqkb1r/1p3ppp/p2ppn2/8/3NP3/1BN5/PPP2PPP/R1BQK2R b KQkq - 1 7,"I usually play this immediately as it cuts out the trick ...Nxe4, Nxe4, ...d5, forking B and N.  It also gets the B off the semi-open c-file and covers the queenside pawns in the event of queenside castling, though I usually castle kingside in this opening."
