N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,Im black here
2,c5,c7c5,rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,my first move
3,Bc4,f1c4,rnbqkbnr/pp1ppppp/8/2p5/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq - 1 2,his 2nd
4,Nc6,b8c6,r1bqkbnr/pp1ppppp/2n5/2p5/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 2 3,my 2nd
5,Nf3,g1f3,r1bqkbnr/pp1ppppp/2n5/2p5/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,i planned to do c6-e5 but i cant do it now
6,e5,e7e5,r1bqkbnr/pp1p1ppp/2n5/2p1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,so i did this
7,d3,d2d3,r1bqkbnr/pp1p1ppp/2n5/2p1p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R b KQkq - 0 4,he did that to use his bishop
8,Nf6,g8f6,r1bqkb1r/pp1p1ppp/2n2n2/2p1p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 1 5,i did this so i could attack the bishop
9,c3,c2c3,r1bqkb1r/pp1p1ppp/2n2n2/2p1p3/2B1P3/2PP1N2/PP3PPP/RNBQK2R b KQkq - 0 5,i did this so i could attack the bishop
10,d5,d7d5,r1bqkb1r/pp3ppp/2n2n2/2ppp3/2B1P3/2PP1N2/PP3PPP/RNBQK2R w KQkq - 0 6,i did this so i could attack the bishop
11,Bb5,c4b5,r1bqkb1r/pp3ppp/2n2n2/1Bppp3/4P3/2PP1N2/PP3PPP/RNBQK2R b KQkq - 1 6,and he got away with attacking my knight
12,dxe4,d5e4,r1bqkb1r/pp3ppp/2n2n2/1Bp1p3/4p3/2PP1N2/PP3PPP/RNBQK2R w KQkq - 0 7,i took the pawn with attacking the knight
13,Nxe5,f3e5,r1bqkb1r/pp3ppp/2n2n2/1Bp1N3/4p3/2PP4/PP3PPP/RNBQK2R b KQkq - 0 7,"he took my pawn, its dangerious now with my knight and his bishop and knight cuz they att c6"
14,Bd7,c8d7,r2qkb1r/pp1b1ppp/2n2n2/1Bp1N3/4p3/2PP4/PP3PPP/RNBQK2R w KQkq - 1 8,i defended
15,dxe4,d3e4,r2qkb1r/pp1b1ppp/2n2n2/1Bp1N3/4P3/2P5/PP3PPP/RNBQK2R b KQkq - 0 8,he attacked my pawn
16,Nxe5,c6e5,r2qkb1r/pp1b1ppp/5n2/1Bp1n3/4P3/2P5/PP3PPP/RNBQK2R w KQkq - 0 9,and i took his knight XD
17,Bf4,c1f4,r2qkb1r/pp1b1ppp/5n2/1Bp1n3/4PB2/2P5/PP3PPP/RN1QK2R b KQkq - 1 9,he attacked my knight
18,Bxb5,d7b5,r2qkb1r/pp3ppp/5n2/1bp1n3/4PB2/2P5/PP3PPP/RN1QK2R w KQkq - 0 10,and i took his bishop
19,Bxe5,f4e5,r2qkb1r/pp3ppp/5n2/1bp1B3/4P3/2P5/PP3PPP/RN1QK2R b KQkq - 0 10,he took my kinght
20,Qxd1+,d8d1,r3kb1r/pp3ppp/5n2/1bp1B3/4P3/2P5/PP3PPP/RN1qK2R w KQkq - 0 11,i took his queen
21,Kxd1,e1d1,r3kb1r/pp3ppp/5n2/1bp1B3/4P3/2P5/PP3PPP/RN1K3R b kq - 0 11,he took mine
22,Nxe4,f6e4,r3kb1r/pp3ppp/8/1bp1B3/4n3/2P5/PP3PPP/RN1K3R w kq - 0 12,i took the pawn
