N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,2 bundler....... results in a draw!
2,d6,d7d6,rnbqkbnr/ppp1pppp/3p4/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,"Start pawn attack against black ""fianchetto"""
3,d4,d2d4,rnbqkbnr/ppp1pppp/3p4/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,"Start pawn attack against black ""fianchetto"""
4,Nf6,g8f6,rnbqkb1r/ppp1pppp/3p1n2/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 1 3,"Start pawn attack against black ""fianchetto"""
5,Nc3,b1c3,rnbqkb1r/ppp1pppp/3p1n2/8/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 2 3,"Start pawn attack against black ""fianchetto"""
6,g6,g7g6,rnbqkb1r/ppp1pp1p/3p1np1/8/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 4,"Start pawn attack against black ""fianchetto"""
7,Bc4,f1c4,rnbqkb1r/ppp1pp1p/3p1np1/8/2BPP3/2N5/PPP2PPP/R1BQK1NR b KQkq - 1 4,"Start pawn attack against black ""fianchetto"""
8,Bg7,f8g7,rnbqk2r/ppp1ppbp/3p1np1/8/2BPP3/2N5/PPP2PPP/R1BQK1NR w KQkq - 2 5,"Start pawn attack against black ""fianchetto"""
9,Nf3,g1f3,rnbqk2r/ppp1ppbp/3p1np1/8/2BPP3/2N2N2/PPP2PPP/R1BQK2R b KQkq - 3 5,"Start pawn attack against black ""fianchetto"""
10,O-O,e8g8,rnbq1rk1/ppp1ppbp/3p1np1/8/2BPP3/2N2N2/PPP2PPP/R1BQK2R w KQ - 4 6,"Start pawn attack against black ""fianchetto"""
11,Be3,c1e3,rnbq1rk1/ppp1ppbp/3p1np1/8/2BPP3/2N1BN2/PPP2PPP/R2QK2R b KQ - 5 6,"Start pawn attack against black ""fianchetto"""
12,c6,c7c6,rnbq1rk1/pp2ppbp/2pp1np1/8/2BPP3/2N1BN2/PPP2PPP/R2QK2R w KQ - 0 7,"Start pawn attack against black ""fianchetto"""
13,h3,h2h3,rnbq1rk1/pp2ppbp/2pp1np1/8/2BPP3/2N1BN1P/PPP2PP1/R2QK2R b KQ - 0 7,"Start pawn attack against black ""fianchetto"""
14,b5,b7b5,rnbq1rk1/p3ppbp/2pp1np1/1p6/2BPP3/2N1BN1P/PPP2PP1/R2QK2R w KQ - 0 8,"""sfianchettamento"""
15,Bd3,c4d3,rnbq1rk1/p3ppbp/2pp1np1/1p6/3PP3/2NBBN1P/PPP2PP1/R2QK2R b KQ - 1 8,"""sfianchettamento"""
16,Nbd7,b8d7,r1bq1rk1/p2nppbp/2pp1np1/1p6/3PP3/2NBBN1P/PPP2PP1/R2QK2R w KQ - 2 9,"""sfianchettamento"""
17,Qd2,d1d2,r1bq1rk1/p2nppbp/2pp1np1/1p6/3PP3/2NBBN1P/PPPQ1PP1/R3K2R b KQ - 3 9,"""sfianchettamento"""
18,Bb7,c8b7,r2q1rk1/pb1nppbp/2pp1np1/1p6/3PP3/2NBBN1P/PPPQ1PP1/R3K2R w KQ - 4 10,"""sfianchettamento"""
19,g4,g2g4,r2q1rk1/pb1nppbp/2pp1np1/1p6/3PP1P1/2NBBN1P/PPPQ1P2/R3K2R b KQ - 0 10,"""sfianchettamento"""
20,a6,a7a6,r2q1rk1/1b1nppbp/p1pp1np1/1p6/3PP1P1/2NBBN1P/PPPQ1P2/R3K2R w KQ - 0 11,"""sfianchettamento"""
21,Bh6,e3h6,r2q1rk1/1b1nppbp/p1pp1npB/1p6/3PP1P1/2NB1N1P/PPPQ1P2/R3K2R b KQ - 1 11,"""sfianchettamento"""
22,c5,c6c5,r2q1rk1/1b1nppbp/p2p1npB/1pp5/3PP1P1/2NB1N1P/PPPQ1P2/R3K2R w KQ - 0 12,"------Bundler alert----------
nice try to win pawn..... but it will result in a material loss. Black stopped deep analisys just one move too earl"
23,dxc5,d4c5,r2q1rk1/1b1nppbp/p2p1npB/1pP5/4P1P1/2NB1N1P/PPPQ1P2/R3K2R b KQ - 0 12,"------Bundler alert----------
nice try to win pawn..... but it will result in a material loss. Black stopped deep analisys just one move too earl"
24,Nxc5,d7c5,r2q1rk1/1b2ppbp/p2p1npB/1pn5/4P1P1/2NB1N1P/PPPQ1P2/R3K2R w KQ - 0 13,"------Bundler alert----------
nice try to win pawn..... but it will result in a material loss. Black stopped deep analisys just one move too earl"
25,Bxg7,h6g7,r2q1rk1/1b2ppBp/p2p1np1/1pn5/4P1P1/2NB1N1P/PPPQ1P2/R3K2R b KQ - 0 13,"------Bundler alert----------
nice try to win pawn..... but it will result in a material loss. Black stopped deep analisys just one move too earl"
26,Kxg7,g8g7,r2q1r2/1b2ppkp/p2p1np1/1pn5/4P1P1/2NB1N1P/PPPQ1P2/R3K2R w KQ - 0 14,"------Bundler alert----------
nice try to win pawn..... but it will result in a material loss. Black stopped deep analisys just one move too earl"
27,Rg1,h1g1,r2q1r2/1b2ppkp/p2p1np1/1pn5/4P1P1/2NB1N1P/PPPQ1P2/R3K1R1 b Q - 1 14,"------Bundler alert----------
nice try to win pawn..... but it will result in a material loss. Black stopped deep analisys just one move too earl"
