N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,"Team rating test, standard kings pawn!"
2,e5,e7e5,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,always a standard... develop while threatening my free pawn.
3,Nf3,g1f3,rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,always a standard... develop while threatening my free pawn.
4,d6,d7d6,rnbqkbnr/ppp2ppp/3p4/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,"protection of course, and opening the files for my bishops."
5,d4,d2d4,rnbqkbnr/ppp2ppp/3p4/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,"starting the battle a little early? is it a bad thing? generaly i found that true but in this case, lets see...."
6,Nc6,b8c6,r1bqkbnr/ppp2ppp/2np4/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 1 4,"the pawns no big deal, i need to develop."
7,dxe5,d4e5,r1bqkbnr/ppp2ppp/2np4/4P3/4P3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 4,pawn graber
8,Bg4,c8g4,r2qkbnr/ppp2ppp/2np4/4P3/4P1b1/5N2/PPP2PPP/RNBQKB1R w KQkq - 1 5,another pawn grabed.
9,exd6,e5d6,r2qkbnr/ppp2ppp/2nP4/8/4P1b1/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 5,another pawn grabed.
10,Bxd6,f8d6,r2qk1nr/ppp2ppp/2nb4/8/4P1b1/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 6,DEAD pawn grabing pawn! and asisted in development
11,Bb5,f1b5,r2qk1nr/ppp2ppp/2nb4/1B6/4P1b1/5N2/PPP2PPP/RNBQK2R b KQkq - 1 6,Knight pin. what will i do? what would you do?
12,Nf6,g8f6,r2qk2r/ppp2ppp/2nb1n2/1B6/4P1b1/5N2/PPP2PPP/RNBQK2R w KQkq - 2 7,Develop!
13,e5,e4e5,r2qk2r/ppp2ppp/2nb1n2/1B2P3/6b1/5N2/PPP2PPP/RNBQK2R b KQkq - 0 7,opps!!!! why did i not see that???? but its ok.
14,Be7,d6e7,r2qk2r/ppp1bppp/2n2n2/1B2P3/6b1/5N2/PPP2PPP/RNBQK2R w KQkq - 1 8,"queen swaping, always fun."
15,Qxd8+,d1d8,r2Qk2r/ppp1bppp/2n2n2/1B2P3/6b1/5N2/PPP2PPP/RNB1K2R b KQkq - 0 8,"queen swaping, always fun."
16,Rxd8,a8d8,3rk2r/ppp1bppp/2n2n2/1B2P3/6b1/5N2/PPP2PPP/RNB1K2R w KQk - 0 9,"queen swaping, always fun."
17,exf6,e5f6,3rk2r/ppp1bppp/2n2P2/1B6/6b1/5N2/PPP2PPP/RNB1K2R b KQk - 0 9,here comes another pesky pawn.
18,Bxf6,e7f6,3rk2r/ppp2ppp/2n2b2/1B6/6b1/5N2/PPP2PPP/RNB1K2R w KQk - 0 10,"now im down, pawns still look good, but yet im still down two pawns and a knight."
19,Bxc6+,b5c6,3rk2r/ppp2ppp/2B2b2/8/6b1/5N2/PPP2PPP/RNB1K2R b KQk - 0 10,so much for nice pawns.
20,bxc6,b7c6,3rk2r/p1p2ppp/2p2b2/8/6b1/5N2/PPP2PPP/RNB1K2R w KQk - 0 11,so much for nice pawns.
21,Bf4,c1f4,3rk2r/p1p2ppp/2p2b2/8/5Bb1/5N2/PPP2PPP/RN2K2R b KQk - 1 11,you looking for ANOTHER free pawn??
22,Bd4,f6d4,3rk2r/p1p2ppp/2p5/8/3b1Bb1/5N2/PPP2PPP/RN2K2R w KQk - 2 12,just trying to make up some ground.
23,Bxc7,f4c7,3rk2r/p1B2ppp/2p5/8/3b2b1/5N2/PPP2PPP/RN2K2R b KQk - 0 12,"he dont bite, but takes the pawn... nows its time to advoid the dark squares."
24,Rd7,d8d7,4k2r/p1Br1ppp/2p5/8/3b2b1/5N2/PPP2PPP/RN2K2R w KQk - 1 13,hummm... free bishop? thank you!
25,Be5,c7e5,4k2r/p2r1ppp/2p5/4B3/3b2b1/5N2/PPP2PPP/RN2K2R b KQk - 2 13,hummm... free bishop? thank you!
26,Bxe5,d4e5,4k2r/p2r1ppp/2p5/4b3/6b1/5N2/PPP2PPP/RN2K2R w KQk - 0 14,"now im donw only a pawn, looking much better.

Notice neither one of us has castled..this cant be good for one of us soon."
