N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,Normal opening for me here
2,e5,e7e5,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Normal opening for black and everyone is happy
3,Nf3,g1f3,rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,Carrying on with development
4,f6,f7f6,rnbqkbnr/pppp2pp/5p2/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,I prefer the queenside pawn defense
5,Bc4,f1c4,rnbqkbnr/pppp2pp/5p2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3,Still carrying on unfazed.
6,c6,c7c6,rnbqkbnr/pp1p2pp/2p2p2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,I guess he's hoping for a d5 move next.
7,Nc3,b1c3,rnbqkbnr/pp1p2pp/2p2p2/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 1 4,Still carrying on
8,Na6,b8a6,r1bqkbnr/pp1p2pp/n1p2p2/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 2 5,Only move for that knight
9,Nxe5,f3e5,r1bqkbnr/pp1p2pp/n1p2p2/4N3/2B1P3/2N5/PPPP1PPP/R1BQK2R b KQkq - 0 5,I know this is a risky move that could easily go wrong but i was curious
10,fxe5,f6e5,r1bqkbnr/pp1p2pp/n1p5/4p3/2B1P3/2N5/PPPP1PPP/R1BQK2R w KQkq - 0 6,Expected and now im thinking if that was a good idea. Surely he won't fall for it. Or will he?
11,Qh5+,d1h5,r1bqkbnr/pp1p2pp/n1p5/4p2Q/2B1P3/2N5/PPPP1PPP/R1B1K2R b KQkq - 1 6,hahaha i checked you. It now depends on his move.
12,Ke7,e8e7,r1bq1bnr/pp1pk1pp/n1p5/4p2Q/2B1P3/2N5/PPPP1PPP/R1B1K2R w KQ - 2 7,WHAT?
13,Qxe5#,h5e5,r1bq1bnr/pp1pk1pp/n1p5/4Q3/2B1P3/2N5/PPPP1PPP/R1B1K2R b KQ - 0 7,HAHAHAHAHAHAHA what a checkmate within 7 moves. g6 would have made him live slightly longer
