N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,Black chooses to control the center from afar rather than occupy it.
2,b6,b7b6,rnbqkbnr/p1pppppp/1p6/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Black chooses to control the center from afar rather than occupy it.
3,d4,d2d4,rnbqkbnr/p1pppppp/1p6/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,"Given the chance, White takes advantage of it."
4,Bb7,c8b7,rn1qkbnr/pbpppppp/1p6/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 1 3,Not 5. Nc3 Bb4 =+
5,Bd3,f1d3,rn1qkbnr/pbpppppp/1p6/8/3PP3/3B4/PPP2PPP/RNBQK1NR b KQkq - 2 3,Not 5. Nc3 Bb4 =+
6,e6,e7e6,rn1qkbnr/pbpp1ppp/1p2p3/8/3PP3/3B4/PPP2PPP/RNBQK1NR w KQkq - 0 4,Not 5. Nc3 Bb4 =+
7,Nf3,g1f3,rn1qkbnr/pbpp1ppp/1p2p3/8/3PP3/3B1N2/PPP2PPP/RNBQK2R b KQkq - 1 4,Not 5. Nc3 Bb4 =+
8,Nf6,g8f6,rn1qkb1r/pbpp1ppp/1p2pn2/8/3PP3/3B1N2/PPP2PPP/RNBQK2R w KQkq - 2 5,Not 5. Nc3 Bb4 =+
9,Nbd2,b1d2,rn1qkb1r/pbpp1ppp/1p2pn2/8/3PP3/3B1N2/PPPN1PPP/R1BQK2R b KQkq - 3 5,Not 5. Nc3 Bb4 =+
10,Be7,f8e7,rn1qk2r/pbppbppp/1p2pn2/8/3PP3/3B1N2/PPPN1PPP/R1BQK2R w KQkq - 4 6,Preparing the knight maneuver Nd2-f1-g3
11,O-O,e1g1,rn1qk2r/pbppbppp/1p2pn2/8/3PP3/3B1N2/PPPN1PPP/R1BQ1RK1 b kq - 5 6,Preparing the knight maneuver Nd2-f1-g3
12,d6,d7d6,rn1qk2r/pbp1bppp/1p1ppn2/8/3PP3/3B1N2/PPPN1PPP/R1BQ1RK1 w kq - 0 7,Preparing the knight maneuver Nd2-f1-g3
13,c3,c2c3,rn1qk2r/pbp1bppp/1p1ppn2/8/3PP3/2PB1N2/PP1N1PPP/R1BQ1RK1 b kq - 0 7,Preparing the knight maneuver Nd2-f1-g3
14,Nbd7,b8d7,r2qk2r/pbpnbppp/1p1ppn2/8/3PP3/2PB1N2/PP1N1PPP/R1BQ1RK1 w kq - 1 8,Preparing the knight maneuver Nd2-f1-g3
15,Re1,f1e1,r2qk2r/pbpnbppp/1p1ppn2/8/3PP3/2PB1N2/PP1N1PPP/R1BQR1K1 b kq - 2 8,Preparing the knight maneuver Nd2-f1-g3
16,c5,c7c5,r2qk2r/pb1nbppp/1p1ppn2/2p5/3PP3/2PB1N2/PP1N1PPP/R1BQR1K1 w kq - 0 9,The knight is pinned.
17,Nf1,d2f1,r2qk2r/pb1nbppp/1p1ppn2/2p5/3PP3/2PB1N2/PP3PPP/R1BQRNK1 b kq - 1 9,The knight is pinned.
18,Qc7,d8c7,r3k2r/pbqnbppp/1p1ppn2/2p5/3PP3/2PB1N2/PP3PPP/R1BQRNK1 w kq - 2 10,The knight is pinned.
19,Ng3,f1g3,r3k2r/pbqnbppp/1p1ppn2/2p5/3PP3/2PB1NN1/PP3PPP/R1BQR1K1 b kq - 3 10,The knight is pinned.
20,O-O,e8g8,r4rk1/pbqnbppp/1p1ppn2/2p5/3PP3/2PB1NN1/PP3PPP/R1BQR1K1 w - - 4 11,The knight is pinned.
