N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,"This is my traditional opening, the King's Pawn Opening, the most popular opening."
2,Nc6,b8c6,r1bqkbnr/pppppppp/2n5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 2,"Interesting response, the King's Pawn Nimzovich defence, a response I've hardly ever seen in my games."
3,Nc3,b1c3,r1bqkbnr/pppppppp/2n5/8/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 2 2,"This is surprisingly not a chess opening in the book, so the book ends quick."
4,e5,e7e5,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 3,I put pressure on the e5 pawn. I hope to take it here shortly.
5,Nf3,g1f3,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 1 3,I put pressure on the e5 pawn. I hope to take it here shortly.
6,Nf6,g8f6,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 2 4,A customary move by white. I take the knight so I can take the pawn.
7,Bb5,f1b5,r1bqkb1r/pppp1ppp/2n2n2/1B2p3/4P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 3 4,A customary move by white. I take the knight so I can take the pawn.
8,Nd4,c6d4,r1bqkb1r/pppp1ppp/5n2/1B2p3/3nP3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 4 5,"Black instead protects his knight, which is now protected by the e5 pawn, and attacks white's f3 Knight and b5 Bishop, which are both protected though."
9,Nxe5,f3e5,r1bqkb1r/pppp1ppp/5n2/1B2N3/3nP3/2N5/PPPP1PPP/R1BQK2R b KQkq - 0 5,"I continue with my plans to take the pawn. Interesting to see all 4 knights lined up like that. Black's knight is no longer protected, but also currently not under attack."
10,c6,c7c6,r1bqkb1r/pp1p1ppp/2p2n2/1B2N3/3nP3/2N5/PPPP1PPP/R1BQK2R w KQkq - 0 6,"Black attacks white's bishop more with his c pawn. This move is viewed by the computer analysis as an inaccuracy and that Qe7 was the best move. Yes indeed, for then white would have to move his knight or protect it with the f pawn. Likely this sequence would of occurred: 5. ... Qe7 6. Nf3 Nxf3 7. gxf3 Nxe4 8. Nxe4 Qxe4+ 9. Qe2 Qxe2+ 10. Kxe2. This would of left black with a bit of an advantage in position, but as you can see, c6 was the move made."
