N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,"In this short game, White gets into early trouble on the long diagonal."
2,d6,d7d6,rnbqkbnr/ppp1pppp/3p4/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,"In this short game, White gets into early trouble on the long diagonal."
3,d4,d2d4,rnbqkbnr/ppp1pppp/3p4/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,"In this short game, White gets into early trouble on the long diagonal."
4,Nf6,g8f6,rnbqkb1r/ppp1pppp/3p1n2/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 1 3,"Relaxes central tension, in many lines, White tries to maintain central ltension."
5,Bd3,f1d3,rnbqkb1r/ppp1pppp/3p1n2/8/3PP3/3B4/PPP2PPP/RNBQK1NR b KQkq - 2 3,"Relaxes central tension, in many lines, White tries to maintain central ltension."
6,e5,e7e5,rnbqkb1r/ppp2ppp/3p1n2/4p3/3PP3/3B4/PPP2PPP/RNBQK1NR w KQkq - 0 4,"Relaxes central tension, in many lines, White tries to maintain central ltension."
7,d5,d4d5,rnbqkb1r/ppp2ppp/3p1n2/3Pp3/4P3/3B4/PPP2PPP/RNBQK1NR b KQkq - 0 4,"Relaxes central tension, in many lines, White tries to maintain central ltension."
8,c6,c7c6,rnbqkb1r/pp3ppp/2pp1n2/3Pp3/4P3/3B4/PPP2PPP/RNBQK1NR w KQkq - 0 5,Usual is cxd5. The assymetry created by this move offers both sides tactical opportunities.
9,c4,c2c4,rnbqkb1r/pp3ppp/2pp1n2/3Pp3/2P1P3/3B4/PP3PPP/RNBQK1NR b KQkq - 0 5,Usual is cxd5. The assymetry created by this move offers both sides tactical opportunities.
10,cxd5,c6d5,rnbqkb1r/pp3ppp/3p1n2/3pp3/2P1P3/3B4/PP3PPP/RNBQK1NR w KQkq - 0 6,Usual is cxd5. The assymetry created by this move offers both sides tactical opportunities.
11,exd5,e4d5,rnbqkb1r/pp3ppp/3p1n2/3Pp3/2P5/3B4/PP3PPP/RNBQK1NR b KQkq - 0 6,Usual is cxd5. The assymetry created by this move offers both sides tactical opportunities.
12,g6,g7g6,rnbqkb1r/pp3p1p/3p1np1/3Pp3/2P5/3B4/PP3PPP/RNBQK1NR w KQkq - 0 7,Provides more scope for the bishop and prepares for king side pawn pushes.
13,Bg5,c1g5,rnbqkb1r/pp3p1p/3p1np1/3Pp1B1/2P5/3B4/PP3PPP/RN1QK1NR b KQkq - 1 7,Puts the question to the bishop.
14,Bg7,f8g7,rnbqk2r/pp3pbp/3p1np1/3Pp1B1/2P5/3B4/PP3PPP/RN1QK1NR w KQkq - 2 8,Puts the question to the bishop.
15,Nc3,b1c3,rnbqk2r/pp3pbp/3p1np1/3Pp1B1/2P5/2NB4/PP3PPP/R2QK1NR b KQkq - 3 8,Puts the question to the bishop.
16,h6,h7h6,rnbqk2r/pp3pb1/3p1npp/3Pp1B1/2P5/2NB4/PP3PPP/R2QK1NR w KQkq - 0 9,Puts the question to the bishop.
17,Bh4,g5h4,rnbqk2r/pp3pb1/3p1npp/3Pp3/2P4B/2NB4/PP3PPP/R2QK1NR b KQkq - 1 9,A bold plan to try and provoke dark square weaknesses.
18,Qb6,d8b6,rnb1k2r/pp3pb1/1q1p1npp/3Pp3/2P4B/2NB4/PP3PPP/R2QK1NR w KQkq - 2 10,A bold plan to try and provoke dark square weaknesses.
19,Qc2,d1c2,rnb1k2r/pp3pb1/1q1p1npp/3Pp3/2P4B/2NB4/PPQ2PPP/R3K1NR b KQkq - 3 10,b3? is a miscalculation. White's weakness on the long diagonal opens up tactical possibilities.
20,O-O,e8g8,rnb2rk1/pp3pb1/1q1p1npp/3Pp3/2P4B/2NB4/PPQ2PPP/R3K1NR w KQ - 4 11,b3? is a miscalculation. White's weakness on the long diagonal opens up tactical possibilities.
21,h3,h2h3,rnb2rk1/pp3pb1/1q1p1npp/3Pp3/2P4B/2NB3P/PPQ2PP1/R3K1NR b KQ - 0 11,b3? is a miscalculation. White's weakness on the long diagonal opens up tactical possibilities.
22,Nbd7,b8d7,r1b2rk1/pp1n1pb1/1q1p1npp/3Pp3/2P4B/2NB3P/PPQ2PP1/R3K1NR w KQ - 1 12,b3? is a miscalculation. White's weakness on the long diagonal opens up tactical possibilities.
