N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,This as a bid to control the center.
2,e5,e7e5,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,This as a bid to control the center.
3,Bc4,f1c4,rnbqkbnr/pppp1ppp/8/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq - 1 2,This as a bid to control the center.
4,d6,d7d6,rnbqkbnr/ppp2ppp/3p4/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 0 3,Already we can see that this game will hinge around the two e-pawns.
5,Nc3,b1c3,rnbqkbnr/ppp2ppp/3p4/4p3/2B1P3/2N5/PPPP1PPP/R1BQK1NR b KQkq - 1 3,Already we can see that this game will hinge around the two e-pawns.
6,Nf6,g8f6,rnbqkb1r/ppp2ppp/3p1n2/4p3/2B1P3/2N5/PPPP1PPP/R1BQK1NR w KQkq - 2 4,Already we can see that this game will hinge around the two e-pawns.
7,d3,d2d3,rnbqkb1r/ppp2ppp/3p1n2/4p3/2B1P3/2NP4/PPP2PPP/R1BQK1NR b KQkq - 0 4,Already we can see that this game will hinge around the two e-pawns.
8,g5,g7g5,rnbqkb1r/ppp2p1p/3p1n2/4p1p1/2B1P3/2NP4/PPP2PPP/R1BQK1NR w KQkq - 0 5,Confusing.  Black's motivation for this one is difficult to figure out.
9,Bxg5,c1g5,rnbqkb1r/ppp2p1p/3p1n2/4p1B1/2B1P3/2NP4/PPP2PPP/R2QK1NR b KQkq - 0 5,"Obvious to take the hanging pawn, and pin the knight to the queen."
10,Bg4,c8g4,rn1qkb1r/ppp2p1p/3p1n2/4p1B1/2B1P1b1/2NP4/PPP2PPP/R2QK1NR w KQkq - 1 6,"An attack on the queen, simple enough."
11,Qxg4,d1g4,rn1qkb1r/ppp2p1p/3p1n2/4p1B1/2B1P1Q1/2NP4/PPP2PPP/R3K1NR b KQkq - 0 6,"White chooses to trade queens, and eliminate the bishop, exploiting his better control of the center (especially the d5 square)."
12,Nxg4,f6g4,rn1qkb1r/ppp2p1p/3p4/4p1B1/2B1P1n1/2NP4/PPP2PPP/R3K1NR w KQkq - 0 7,"White chooses to trade queens, and eliminate the bishop, exploiting his better control of the center (especially the d5 square)."
13,Bxd8,g5d8,rn1Bkb1r/ppp2p1p/3p4/4p3/2B1P1n1/2NP4/PPP2PPP/R3K1NR b KQkq - 0 7,"White chooses to trade queens, and eliminate the bishop, exploiting his better control of the center (especially the d5 square)."
14,Kxd8,e8d8,rn1k1b1r/ppp2p1p/3p4/4p3/2B1P1n1/2NP4/PPP2PPP/R3K1NR w KQ - 0 8,"White chooses to trade queens, and eliminate the bishop, exploiting his better control of the center (especially the d5 square)."
15,Nf3,g1f3,rn1k1b1r/ppp2p1p/3p4/4p3/2B1P1n1/2NP1N2/PPP2PPP/R3K2R b KQ - 1 8,More bolstering the center.
16,Bg7,f8g7,rn1k3r/ppp2pbp/3p4/4p3/2B1P1n1/2NP1N2/PPP2PPP/R3K2R w KQ - 2 9,More bolstering the center.
17,Bxf7,c4f7,rn1k3r/ppp2Bbp/3p4/4p3/4P1n1/2NP1N2/PPP2PPP/R3K2R b KQ - 0 9,"Another pawn en prise, and it's taken."
18,Rf8,h8f8,rn1k1r2/ppp2Bbp/3p4/4p3/4P1n1/2NP1N2/PPP2PPP/R3K2R w KQ - 1 10,White's bishop is chased off the square but continues its attack.
19,Bh5,f7h5,rn1k1r2/ppp3bp/3p4/4p2B/4P1n1/2NP1N2/PPP2PPP/R3K2R b KQ - 2 10,White's bishop is chased off the square but continues its attack.
20,c6,c7c6,rn1k1r2/pp4bp/2pp4/4p2B/4P1n1/2NP1N2/PPP2PPP/R3K2R w KQ - 0 11,"A decent hope to attack the d5 square, but a knight lost."
21,Bxg4,h5g4,rn1k1r2/pp4bp/2pp4/4p3/4P1B1/2NP1N2/PPP2PPP/R3K2R b KQ - 0 11,"Having lost the knight, Black might as well press on."
22,d5,d6d5,rn1k1r2/pp4bp/2p5/3pp3/4P1B1/2NP1N2/PPP2PPP/R3K2R w KQ - 0 12,"Having lost the knight, Black might as well press on."
23,exd5,e4d5,rn1k1r2/pp4bp/2p5/3Pp3/6B1/2NP1N2/PPP2PPP/R3K2R b KQ - 0 12,Even more stupid on Black's part.  White's control over the center is almost complete.
24,cxd5,c6d5,rn1k1r2/pp4bp/8/3pp3/6B1/2NP1N2/PPP2PPP/R3K2R w KQ - 0 13,Even more stupid on Black's part.  White's control over the center is almost complete.
