N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,"I play black on this one, and the ending is a beauty!  Respectable I do believe!"
2,d6,d7d6,rnbqkbnr/ppp1pppp/3p4/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,"he's coming after me with the classic knight/bishop combo, lets see how I fair"
3,Nf3,g1f3,rnbqkbnr/ppp1pppp/3p4/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,"he's coming after me with the classic knight/bishop combo, lets see how I fair"
4,e5,e7e5,rnbqkbnr/ppp2ppp/3p4/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,"he's coming after me with the classic knight/bishop combo, lets see how I fair"
5,Bc4,f1c4,rnbqkbnr/ppp2ppp/3p4/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3,"he's coming after me with the classic knight/bishop combo, lets see how I fair"
6,Be6,c8e6,rn1qkbnr/ppp2ppp/3pb3/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 2 4,"take here to disrupt my kings bishop pawn, and cause 2 pawns on the same file...this bothers me"
7,Bxe6,c4e6,rn1qkbnr/ppp2ppp/3pB3/4p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 0 4,"take here to disrupt my kings bishop pawn, and cause 2 pawns on the same file...this bothers me"
8,fxe6,f7e6,rn1qkbnr/ppp3pp/3pp3/4p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 5,Knights are on patrol
9,Nc3,b1c3,rn1qkbnr/ppp3pp/3pp3/4p3/4P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 1 5,Knights are on patrol
10,Nf6,g8f6,rn1qkb1r/ppp3pp/3ppn2/4p3/4P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 2 6,"I do this to open the queen, and if he moves his knight it's a nice little pitfall for me with q-a5"
11,d3,d2d3,rn1qkb1r/ppp3pp/3ppn2/4p3/4P3/2NP1N2/PPP2PPP/R1BQK2R b KQkq - 0 6,"I do this to open the queen, and if he moves his knight it's a nice little pitfall for me with q-a5"
12,c6,c7c6,rn1qkb1r/pp4pp/2pppn2/4p3/4P3/2NP1N2/PPP2PPP/R1BQK2R w KQkq - 0 7,"I do this to open the queen, and if he moves his knight it's a nice little pitfall for me with q-a5"
13,Bg5,c1g5,rn1qkb1r/pp4pp/2pppn2/4p1B1/4P3/2NP1N2/PPP2PPP/R2QK2R b KQkq - 1 7,"blocking my knight, but the pitfall is slowly coming"
14,d5,d6d5,rn1qkb1r/pp4pp/2p1pn2/3pp1B1/4P3/2NP1N2/PPP2PPP/R2QK2R w KQkq - 0 8,"this move was a blunder on his part, falling prey to a trap in 3 moves, losing his knight"
15,Nxe5,f3e5,rn1qkb1r/pp4pp/2p1pn2/3pN1B1/4P3/2NP4/PPP2PPP/R2QK2R b KQkq - 0 8,"this move was a blunder on his part, falling prey to a trap in 3 moves, losing his knight"
16,d4,d5d4,rn1qkb1r/pp4pp/2p1pn2/4N1B1/3pP3/2NP4/PPP2PPP/R2QK2R w KQkq - 0 9,pawn up to remove his knight and creating an open horizontal
17,Ne2,c3e2,rn1qkb1r/pp4pp/2p1pn2/4N1B1/3pP3/3P4/PPP1NPPP/R2QK2R b KQkq - 1 9,TRAP SPRUNG!
18,Qa5+,d8a5,rn2kb1r/pp4pp/2p1pn2/q3N1B1/3pP3/3P4/PPP1NPPP/R2QK2R w KQkq - 2 10,TRAP SPRUNG!
19,c3,c2c3,rn2kb1r/pp4pp/2p1pn2/q3N1B1/3pP3/2PP4/PP2NPPP/R2QK2R b KQkq - 0 10,"good job by me, now his bishop is in peril"
20,Qxe5,a5e5,rn2kb1r/pp4pp/2p1pn2/4q1B1/3pP3/2PP4/PP2NPPP/R2QK2R w KQkq - 0 11,"good job by me, now his bishop is in peril"
21,Bf4,g5f4,rn2kb1r/pp4pp/2p1pn2/4q3/3pPB2/2PP4/PP2NPPP/R2QK2R b KQkq - 1 11,now he can safely move his bishop
22,Qc5,e5c5,rn2kb1r/pp4pp/2p1pn2/2q5/3pPB2/2PP4/PP2NPPP/R2QK2R w KQkq - 2 12,now he can safely move his bishop
23,Nxd4,e2d4,rn2kb1r/pp4pp/2p1pn2/2q5/3NPB2/2PP4/PP3PPP/R2QK2R b KQkq - 0 12,now he can safely move his bishop
24,e5,e6e5,rn2kb1r/pp4pp/2p2n2/2q1p3/3NPB2/2PP4/PP3PPP/R2QK2R w KQkq - 0 13,now he can safely move his bishop
25,Nb3,d4b3,rn2kb1r/pp4pp/2p2n2/2q1p3/4PB2/1NPP4/PP3PPP/R2QK2R b KQkq - 1 13,now he can safely move his bishop
