N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,Nf3,g1f3,rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,"The game went smoothly, no big mistakes where made from both parts."
2,d5,d7d5,rnbqkbnr/ppp1pppp/8/3p4/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,"It all starts here! 
The black queen doesn't have many places to go: 18. ... Qc2 was probably the only move that would prevent what came next. And even that isn't very good because of 19. Qa2! which is very dangerous: 19. ... Qxe2, 20. Nxe7  Kh8, 21. Bxg7 Kxg7 and the black Queen falls..."
3,c4,c2c4,rnbqkbnr/ppp1pppp/8/3p4/2P5/5N2/PP1PPPPP/RNBQKB1R b KQkq - 0 2,"It all starts here! 
The black queen doesn't have many places to go: 18. ... Qc2 was probably the only move that would prevent what came next. And even that isn't very good because of 19. Qa2! which is very dangerous: 19. ... Qxe2, 20. Nxe7  Kh8, 21. Bxg7 Kxg7 and the black Queen falls..."
4,dxc4,d5c4,rnbqkbnr/ppp1pppp/8/8/2p5/5N2/PP1PPPPP/RNBQKB1R w KQkq - 0 3,"It all starts here! 
The black queen doesn't have many places to go: 18. ... Qc2 was probably the only move that would prevent what came next. And even that isn't very good because of 19. Qa2! which is very dangerous: 19. ... Qxe2, 20. Nxe7  Kh8, 21. Bxg7 Kxg7 and the black Queen falls..."
5,Nc3,b1c3,rnbqkbnr/ppp1pppp/8/8/2p5/2N2N2/PP1PPPPP/R1BQKB1R b KQkq - 1 3,"It all starts here! 
The black queen doesn't have many places to go: 18. ... Qc2 was probably the only move that would prevent what came next. And even that isn't very good because of 19. Qa2! which is very dangerous: 19. ... Qxe2, 20. Nxe7  Kh8, 21. Bxg7 Kxg7 and the black Queen falls..."
6,Nf6,g8f6,rnbqkb1r/ppp1pppp/5n2/8/2p5/2N2N2/PP1PPPPP/R1BQKB1R w KQkq - 2 4,"It all starts here! 
The black queen doesn't have many places to go: 18. ... Qc2 was probably the only move that would prevent what came next. And even that isn't very good because of 19. Qa2! which is very dangerous: 19. ... Qxe2, 20. Nxe7  Kh8, 21. Bxg7 Kxg7 and the black Queen falls..."
7,e3,e2e3,rnbqkb1r/ppp1pppp/5n2/8/2p5/2N1PN2/PP1P1PPP/R1BQKB1R b KQkq - 0 4,"It all starts here! 
The black queen doesn't have many places to go: 18. ... Qc2 was probably the only move that would prevent what came next. And even that isn't very good because of 19. Qa2! which is very dangerous: 19. ... Qxe2, 20. Nxe7  Kh8, 21. Bxg7 Kxg7 and the black Queen falls..."
8,g6,g7g6,rnbqkb1r/ppp1pp1p/5np1/8/2p5/2N1PN2/PP1P1PPP/R1BQKB1R w KQkq - 0 5,"It all starts here! 
The black queen doesn't have many places to go: 18. ... Qc2 was probably the only move that would prevent what came next. And even that isn't very good because of 19. Qa2! which is very dangerous: 19. ... Qxe2, 20. Nxe7  Kh8, 21. Bxg7 Kxg7 and the black Queen falls..."
9,Bxc4,f1c4,rnbqkb1r/ppp1pp1p/5np1/8/2B5/2N1PN2/PP1P1PPP/R1BQK2R b KQkq - 0 5,"It all starts here! 
The black queen doesn't have many places to go: 18. ... Qc2 was probably the only move that would prevent what came next. And even that isn't very good because of 19. Qa2! which is very dangerous: 19. ... Qxe2, 20. Nxe7  Kh8, 21. Bxg7 Kxg7 and the black Queen falls..."
10,Bg7,f8g7,rnbqk2r/ppp1ppbp/5np1/8/2B5/2N1PN2/PP1P1PPP/R1BQK2R w KQkq - 1 6,"It all starts here! 
The black queen doesn't have many places to go: 18. ... Qc2 was probably the only move that would prevent what came next. And even that isn't very good because of 19. Qa2! which is very dangerous: 19. ... Qxe2, 20. Nxe7  Kh8, 21. Bxg7 Kxg7 and the black Queen falls..."
