N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,The Najdorf. Probably the most common opening you'll run into playing as white with 1. e4.
2,c5,c7c5,rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,The Najdorf. Probably the most common opening you'll run into playing as white with 1. e4.
3,Nf3,g1f3,rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,The Najdorf. Probably the most common opening you'll run into playing as white with 1. e4.
4,d6,d7d6,rnbqkbnr/pp2pppp/3p4/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,The Najdorf. Probably the most common opening you'll run into playing as white with 1. e4.
5,d4,d2d4,rnbqkbnr/pp2pppp/3p4/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,The Najdorf. Probably the most common opening you'll run into playing as white with 1. e4.
6,cxd4,c5d4,rnbqkbnr/pp2pppp/3p4/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,The Najdorf. Probably the most common opening you'll run into playing as white with 1. e4.
7,Nxd4,f3d4,rnbqkbnr/pp2pppp/3p4/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,The Najdorf. Probably the most common opening you'll run into playing as white with 1. e4.
8,Nf6,g8f6,rnbqkb1r/pp2pppp/3p1n2/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5,The Najdorf. Probably the most common opening you'll run into playing as white with 1. e4.
9,Nc3,b1c3,rnbqkb1r/pp2pppp/3p1n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 2 5,The Najdorf. Probably the most common opening you'll run into playing as white with 1. e4.
10,a6,a7a6,rnbqkb1r/1p2pppp/p2p1n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 6,The Najdorf. Probably the most common opening you'll run into playing as white with 1. e4.
11,Bg5,c1g5,rnbqkb1r/1p2pppp/p2p1n2/6B1/3NP3/2N5/PPP2PPP/R2QKB1R b KQkq - 1 6,"Klaus: We choose this Opening, because it is a modern Variation with good Chances of both Sides !"
12,e6,e7e6,rnbqkb1r/1p3ppp/p2ppn2/6B1/3NP3/2N5/PPP2PPP/R2QKB1R w KQkq - 0 7,"Klaus: We choose this Opening, because it is a modern Variation with good Chances of both Sides !"
13,f4,f2f4,rnbqkb1r/1p3ppp/p2ppn2/6B1/3NPP2/2N5/PPP3PP/R2QKB1R b KQkq - 0 7,"Myevilluck: I play Qf3 because it goes with the overall theme of white to attack the kingside. Supporting a f-pawn push eventually and allowing me to castle long. Other moves don't accomplish this accurately. I could technically probably move 8. Be2 and castle kingside, but it isn't in the spirit, and I don't like creating new plans. Moving the LSB anywhere else would be an inaccuracy because of him having moves like 8. ... Qc7 or Qb6.                                                                                                                                                                                                                                          Klaus:If White did not play Qf3 in the 8th Move, for example he play 8.Qd2, black could play immediately b5 ! This opens black some good Counter Chances in the early stadium of the game."
14,Be7,f8e7,rnbqk2r/1p2bppp/p2ppn2/6B1/3NPP2/2N5/PPP3PP/R2QKB1R w KQkq - 1 8,"Myevilluck: I play Qf3 because it goes with the overall theme of white to attack the kingside. Supporting a f-pawn push eventually and allowing me to castle long. Other moves don't accomplish this accurately. I could technically probably move 8. Be2 and castle kingside, but it isn't in the spirit, and I don't like creating new plans. Moving the LSB anywhere else would be an inaccuracy because of him having moves like 8. ... Qc7 or Qb6.                                                                                                                                                                                                                                          Klaus:If White did not play Qf3 in the 8th Move, for example he play 8.Qd2, black could play immediately b5 ! This opens black some good Counter Chances in the early stadium of the game."
15,Qf3,d1f3,rnbqk2r/1p2bppp/p2ppn2/6B1/3NPP2/2N2Q2/PPP3PP/R3KB1R b KQkq - 2 8,"Myevilluck: I play Qf3 because it goes with the overall theme of white to attack the kingside. Supporting a f-pawn push eventually and allowing me to castle long. Other moves don't accomplish this accurately. I could technically probably move 8. Be2 and castle kingside, but it isn't in the spirit, and I don't like creating new plans. Moving the LSB anywhere else would be an inaccuracy because of him having moves like 8. ... Qc7 or Qb6.                                                                                                                                                                                                                                          Klaus:If White did not play Qf3 in the 8th Move, for example he play 8.Qd2, black could play immediately b5 ! This opens black some good Counter Chances in the early stadium of the game."
16,Nbd7,b8d7,r1bqk2r/1p1nbppp/p2ppn2/6B1/3NPP2/2N2Q2/PPP3PP/R3KB1R w KQkq - 3 9,Klaus: Nbd7 to have a look at the square e5.
17,O-O-O,e1c1,r1bqk2r/1p1nbppp/p2ppn2/6B1/3NPP2/2N2Q2/PPP3PP/2KR1B1R b kq - 4 9,"Sicilian Defense: Najdorf Variation, Main Line (B99)"
18,h6,h7h6,r1bqk2r/1p1nbpp1/p2ppn1p/6B1/3NPP2/2N2Q2/PPP3PP/2KR1B1R w kq - 0 10,"Klaus:  h6 is a move over that grandmasters discuss in different ways. Every pawn move of the kingsside (the side where you castled) is weakening, but i prefer this move, because White will play g5 later and i will exchange the pawns to get a more active defense over the line 6 and 7. Coincidentally the pieces of these lines should attack the opponents king side."
19,Bh4,g5h4,r1bqk2r/1p1nbpp1/p2ppn1p/8/3NPP1B/2N2Q2/PPP3PP/2KR1B1R b kq - 1 10,Myevilluck: I play 10. Bh4 because A.) I'm a bishop w**** and love keeping them around.   B.) With him playing 9. ...h6 I didn't like the idea of g5 being contested and having his DSB on f6 ready to attack me.
20,Qc7,d8c7,r1b1k2r/1pqnbpp1/p2ppn1p/8/3NPP1B/2N2Q2/PPP3PP/2KR1B1R w kq - 2 11,"ptitroque asked us why 10. d5 or e5 is not possible.                                                                                                                                                                                                                                    Myevilluck: e5 would unprotect very important squares f5 and d5. Allowing both my knights to move to them. Nf5 Bc4 Nd5. You know all those cool moves. (My Knight going to f5 can kill his e7 bishop and allow me to exploit the pin I just saved with bh4)
10. ...e5 11. Nf5! Bf8 12. Rxd6 Bxd6 13. Nxd6+ Ke7 14. Nd5+ Kxd6 15. Qa3+ Kc6 16. fxe5 Nxe5 17. Qc3+ Kd6 18. Be2 Nxd5 19. Qa3+ Kc6 20. Bxd8                                                                                                                                                                                                                                           Klaus: On d5 the following notation is possible :
11.exd5 Nxd5 12.Bxe7 Bxe7 13. Bc4 Qb6 (you have to protect e6 ) 14. Rhe1 Nc5 15.f5 0-0 16.f6 with very best chances to win the game !"
21,Be2,f1e2,r1b1k2r/1pqnbpp1/p2ppn1p/8/3NPP1B/2N2Q2/PPP1B1PP/2KR3R b kq - 3 11,"Myevilluck: Connecting my rooks and allowing me options to protect e4 later. I've had trouble in the past with my LSB getting in the way of my kingside attack, so I just move it now."
22,O-O,e8g8,r1b2rk1/1pqnbpp1/p2ppn1p/8/3NPP1B/2N2Q2/PPP1B1PP/2KR3R w - - 4 12,"Myevilluck: 12. Qg3 is basically a move anticipating 12. Nc5. I can get my LSB on f3 instead to protect my e4 pawn rather than tie up my queen. I also like waving at his king on the g-file. (It stops b5 for now because he has to open his bishop on its line to protect f5 as a knight could get there as said earlier, and with the Q on g3 that would be devastating.)"
23,Qg3,f3g3,r1b2rk1/1pqnbpp1/p2ppn1p/8/3NPP1B/2N3Q1/PPP1B1PP/2KR3R b - - 5 12,"Myevilluck: 12. Qg3 is basically a move anticipating 12. Nc5. I can get my LSB on f3 instead to protect my e4 pawn rather than tie up my queen. I also like waving at his king on the g-file. (It stops b5 for now because he has to open his bishop on its line to protect f5 as a knight could get there as said earlier, and with the Q on g3 that would be devastating.)"
24,Nc5,d7c5,r1b2rk1/1pq1bpp1/p2ppn1p/2n5/3NPP1B/2N3Q1/PPP1B1PP/2KR3R w - - 6 13,"Elyhim even got in on the explanations: Based upon my analysis I get the sense that white's only real trump card is the centre and space. However, even though the e4 and f4-pawn are cramping my style they are over extended, especially, e4! Another reason to attack e4 immediately is to break up white's centre before he has a chance to consolidate. Therefore, I would choose 12. ...Nc5-> now white has two main replies:
                                                                                                                        Best line 13. Bf3 e5!(attacking the d4-knight and forcing white to give up the space advantage) 14. fxe5 dxe5(black's pawn structure is better and white has an isolani e-pawn) 15.
                                                                                                                        Now white has a to make a choice does he play 15. Nf5 or 15. Bxf6.
                                                                                                                        15. Bxf6!? give black the bishop pair but now white can use the d5 strong point for his knight.
15. Nxf5!? gives black free reign on the queenside."
25,Bf3,e2f3,r1b2rk1/1pq1bpp1/p2ppn1p/2n5/3NPP1B/2N2BQ1/PPP3PP/2KR3R b - - 7 13,"Brigadecommander gave an alternative to this move: My idea was based on 14.Nf5 not fxe5. That is a direct attack on the black king is it not? Does Black then have to play 14....Bxf5 ?. And White then would play 15.exf5 correct?. Now blacks d-pawn is still backward, Whites LSB is released and aimed right at d5,and d6 is under attack. By 14.fxe5 white un/cramps Blacks position for him.                                                                                                                                                                                                                                           Klaus: on 14.Nf5 Bxf5 15.exf5 Rac8 white has to play fxe5 to get Power to my e pawn and in the center. After dxe5 we have the same position.                                                                                                                                                                                                                                      Myevilluck: I didn't play 14. Nf5 because I didn't like the way it started to look.

My line was something like: 14. Nf5 Bxf4 15. exf5 Rfc8 16. Rhe1 e4 17. Bxf6 Bxf6 18. Bxe4 Rab8

It's still very drawish, but I figured the other way gave me a shot of him being a little inaccurate."
26,e5,e6e5,r1b2rk1/1pq1bpp1/p2p1n1p/2n1p3/3NPP1B/2N2BQ1/PPP3PP/2KR3R w - - 0 14,"Brigadecommander gave an alternative to this move: My idea was based on 14.Nf5 not fxe5. That is a direct attack on the black king is it not? Does Black then have to play 14....Bxf5 ?. And White then would play 15.exf5 correct?. Now blacks d-pawn is still backward, Whites LSB is released and aimed right at d5,and d6 is under attack. By 14.fxe5 white un/cramps Blacks position for him.                                                                                                                                                                                                                                           Klaus: on 14.Nf5 Bxf5 15.exf5 Rac8 white has to play fxe5 to get Power to my e pawn and in the center. After dxe5 we have the same position.                                                                                                                                                                                                                                      Myevilluck: I didn't play 14. Nf5 because I didn't like the way it started to look.

My line was something like: 14. Nf5 Bxf4 15. exf5 Rfc8 16. Rhe1 e4 17. Bxf6 Bxf6 18. Bxe4 Rab8

It's still very drawish, but I figured the other way gave me a shot of him being a little inaccurate."
27,fxe5,f4e5,r1b2rk1/1pq1bpp1/p2p1n1p/2n1P3/3NP2B/2N2BQ1/PPP3PP/2KR3R b - - 0 14,"Brigadecommander gave an alternative to this move: My idea was based on 14.Nf5 not fxe5. That is a direct attack on the black king is it not? Does Black then have to play 14....Bxf5 ?. And White then would play 15.exf5 correct?. Now blacks d-pawn is still backward, Whites LSB is released and aimed right at d5,and d6 is under attack. By 14.fxe5 white un/cramps Blacks position for him.                                                                                                                                                                                                                                           Klaus: on 14.Nf5 Bxf5 15.exf5 Rac8 white has to play fxe5 to get Power to my e pawn and in the center. After dxe5 we have the same position.                                                                                                                                                                                                                                      Myevilluck: I didn't play 14. Nf5 because I didn't like the way it started to look.

My line was something like: 14. Nf5 Bxf4 15. exf5 Rfc8 16. Rhe1 e4 17. Bxf6 Bxf6 18. Bxe4 Rab8

It's still very drawish, but I figured the other way gave me a shot of him being a little inaccurate."
28,dxe5,d6e5,r1b2rk1/1pq1bpp1/p4n1p/2n1p3/3NP2B/2N2BQ1/PPP3PP/2KR3R w - - 0 15,Forced
29,Nf5,d4f5,r1b2rk1/1pq1bpp1/p4n1p/2n1pN2/4P2B/2N2BQ1/PPP3PP/2KR3R b - - 1 15,"Myevilluck: I decided black's Queenside attack wasn't strong enough, and I like trying to keep my bishop pair for a hopeful advantage in the endgame."
30,Bxf5,c8f5,r4rk1/1pq1bpp1/p4n1p/2n1pb2/4P2B/2N2BQ1/PPP3PP/2KR3R w - - 0 16,Forced
31,exf5,e4f5,r4rk1/1pq1bpp1/p4n1p/2n1pP2/7B/2N2BQ1/PPP3PP/2KR3R b - - 0 16,"Klaus: Rac8 was played from me, to start my attack on the queenside, to
make the c-Linie sure for me and to plan Na4 ! I expect Rhe1 as White's Answer, to make power to my e pawn, which is a free pawn and in the end game it can decide !"
