N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,d4,d2d4,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,White develops a piece and defends the extra pawn. 3. f4 allows black a lead in development after 3..f6! 4 exf6 Nxf6 5 Nc3 d5 6 e3 Bb4 paving the way for black to castle kingside  and having reasonable chances.
2,e5,e7e5,rnbqkbnr/pppp1ppp/8/4p3/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,White develops a piece and defends the extra pawn. 3. f4 allows black a lead in development after 3..f6! 4 exf6 Nxf6 5 Nc3 d5 6 e3 Bb4 paving the way for black to castle kingside  and having reasonable chances.
3,dxe5,d4e5,rnbqkbnr/pppp1ppp/8/4P3/8/8/PPP1PPPP/RNBQKBNR b KQkq - 0 2,White develops a piece and defends the extra pawn. 3. f4 allows black a lead in development after 3..f6! 4 exf6 Nxf6 5 Nc3 d5 6 e3 Bb4 paving the way for black to castle kingside  and having reasonable chances.
4,Nc6,b8c6,r1bqkbnr/pppp1ppp/2n5/4P3/8/8/PPP1PPPP/RNBQKBNR w KQkq - 1 3,White develops a piece and defends the extra pawn. 3. f4 allows black a lead in development after 3..f6! 4 exf6 Nxf6 5 Nc3 d5 6 e3 Bb4 paving the way for black to castle kingside  and having reasonable chances.
5,Nf3,g1f3,r1bqkbnr/pppp1ppp/2n5/4P3/8/5N2/PPP1PPPP/RNBQKB1R b KQkq - 2 3,White develops a piece and defends the extra pawn. 3. f4 allows black a lead in development after 3..f6! 4 exf6 Nxf6 5 Nc3 d5 6 e3 Bb4 paving the way for black to castle kingside  and having reasonable chances.
6,Qe7,d8e7,r1b1kbnr/ppppqppp/2n5/4P3/8/5N2/PPP1PPPP/RNBQKB1R w KQkq - 3 4,The start of the rather disreputable Englund Gambit.
7,Qd5,d1d5,r1b1kbnr/ppppqppp/2n5/3QP3/8/5N2/PPP1PPPP/RNB1KB1R b KQkq - 4 4,Better was to keep developing with Nc3
8,Qb4+,e7b4,r1b1kbnr/pppp1ppp/2n5/3QP3/1q6/5N2/PPP1PPPP/RNB1KB1R w KQkq - 5 5,Bd2? Again Nc3 is better or Nbd2
9,Bd2,c1d2,r1b1kbnr/pppp1ppp/2n5/3QP3/1q6/5N2/PPPBPPPP/RN2KB1R b KQkq - 6 5,Bd2? Again Nc3 is better or Nbd2
10,Qxb2,b4b2,r1b1kbnr/pppp1ppp/2n5/3QP3/8/5N2/PqPBPPPP/RN2KB1R w KQkq - 0 6,"White is in trouble,Bc3 looks the best reply"
11,Bc3,d2c3,r1b1kbnr/pppp1ppp/2n5/3QP3/8/2B2N2/PqP1PPPP/RN2KB1R b KQkq - 1 6,Bb4! pinning White's black squared bishop. Black is winning after 6 moves.
12,Bb4,f8b4,r1b1k1nr/pppp1ppp/2n5/3QP3/1b6/2B2N2/PqP1PPPP/RN2KB1R w KQkq - 2 7,Bb4! pinning White's black squared bishop. Black is winning after 6 moves.
13,Qc4,d5c4,r1b1k1nr/pppp1ppp/2n5/4P3/1bQ5/2B2N2/PqP1PPPP/RN2KB1R b KQkq - 3 7,Qc4?? presumably hoping for the exchange. Not noticing.....
14,Qc1#,b2c1,r1b1k1nr/pppp1ppp/2n5/4P3/1bQ5/2B2N2/P1P1PPPP/RNq1KB1R w KQkq - 4 8,
