N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,"I wanted a King's Pawn Gambit, but my opponent had other ideas."
2,d5,d7d5,rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Sacrificing for development.
3,f4,f2f4,rnbqkbnr/ppp1pppp/8/3p4/4PP2/8/PPPP2PP/RNBQKBNR b KQkq - 0 2,Sacrificing for development.
4,dxe4,d5e4,rnbqkbnr/ppp1pppp/8/8/4pP2/8/PPPP2PP/RNBQKBNR w KQkq - 0 3,"This may have cost him the game, as it allows my Dark-sqared Bishop to smoke the Kingside."
5,Nc3,b1c3,rnbqkbnr/ppp1pppp/8/8/4pP2/2N5/PPPP2PP/R1BQKBNR b KQkq - 1 3,"This may have cost him the game, as it allows my Dark-sqared Bishop to smoke the Kingside."
6,f5,f7f5,rnbqkbnr/ppp1p1pp/8/5p2/4pP2/2N5/PPPP2PP/R1BQKBNR w KQkq - 0 4,"This may have cost him the game, as it allows my Dark-sqared Bishop to smoke the Kingside."
7,d3,d2d3,rnbqkbnr/ppp1p1pp/8/5p2/4pP2/2NP4/PPP3PP/R1BQKBNR b KQkq - 0 4,"This may have cost him the game, as it allows my Dark-sqared Bishop to smoke the Kingside."
8,exd3,e4d3,rnbqkbnr/ppp1p1pp/8/5p2/5P2/2Np4/PPP3PP/R1BQKBNR w KQkq - 0 5,"This may have cost him the game, as it allows my Dark-sqared Bishop to smoke the Kingside."
9,Bxd3,f1d3,rnbqkbnr/ppp1p1pp/8/5p2/5P2/2NB4/PPP3PP/R1BQK1NR b KQkq - 0 5,"This may have cost him the game, as it allows my Dark-sqared Bishop to smoke the Kingside."
10,g6,g7g6,rnbqkbnr/ppp1p2p/6p1/5p2/5P2/2NB4/PPP3PP/R1BQK1NR w KQkq - 0 6,"This may have cost him the game, as it allows my Dark-sqared Bishop to smoke the Kingside."
11,Nf3,g1f3,rnbqkbnr/ppp1p2p/6p1/5p2/5P2/2NB1N2/PPP3PP/R1BQK2R b KQkq - 1 6,I make a miscalculation with the Scholar's Mate (I think) in mind.
12,Bg7,f8g7,rnbqk1nr/ppp1p1bp/6p1/5p2/5P2/2NB1N2/PPP3PP/R1BQK2R w KQkq - 2 7,I make a miscalculation with the Scholar's Mate (I think) in mind.
13,Nh4,f3h4,rnbqk1nr/ppp1p1bp/6p1/5p2/5P1N/2NB4/PPP3PP/R1BQK2R b KQkq - 3 7,I make a miscalculation with the Scholar's Mate (I think) in mind.
14,Nf6,g8f6,rnbqk2r/ppp1p1bp/5np1/5p2/5P1N/2NB4/PPP3PP/R1BQK2R w KQkq - 4 8,Bad. There are two diagonals leading into his base...
15,O-O,e1g1,rnbqk2r/ppp1p1bp/5np1/5p2/5P1N/2NB4/PPP3PP/R1BQ1RK1 b kq - 5 8,Bad. There are two diagonals leading into his base...
16,O-O,e8g8,rnbq1rk1/ppp1p1bp/5np1/5p2/5P1N/2NB4/PPP3PP/R1BQ1RK1 w - - 6 9,Bad. There are two diagonals leading into his base...
17,Bc4+,d3c4,rnbq1rk1/ppp1p1bp/5np1/5p2/2B2P1N/2N5/PPP3PP/R1BQ1RK1 b - - 7 9,Here I thought that I won his Queen...then I realized I didn't.
18,Kh8,g8h8,rnbq1r1k/ppp1p1bp/5np1/5p2/2B2P1N/2N5/PPP3PP/R1BQ1RK1 w - - 8 10,Forcing the King into the corner.
19,Qxd8,d1d8,rnbQ1r1k/ppp1p1bp/5np1/5p2/2B2P1N/2N5/PPP3PP/R1B2RK1 b - - 0 10,Defending the pawn.
20,Rxd8,f8d8,rnbr3k/ppp1p1bp/5np1/5p2/2B2P1N/2N5/PPP3PP/R1B2RK1 w - - 0 11,Defending the pawn.
