N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,"Hmmmm, this isn't the common continuation in the sicilian... More common is Nf3, Nc3 or even Bc4"
2,c5,c7c5,rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,"Hmmmm, this isn't the common continuation in the sicilian... More common is Nf3, Nc3 or even Bc4"
3,b3,b2b3,rnbqkbnr/pp1ppppp/8/2p5/4P3/1P6/P1PP1PPP/RNBQKBNR b KQkq - 0 2,"Hmmmm, this isn't the common continuation in the sicilian... More common is Nf3, Nc3 or even Bc4"
4,Nc6,b8c6,r1bqkbnr/pp1ppppp/2n5/2p5/4P3/1P6/P1PP1PPP/RNBQKBNR w KQkq - 1 3,Normal development so far... The game is still looking pretty even
5,Bb2,c1b2,r1bqkbnr/pp1ppppp/2n5/2p5/4P3/1P6/PBPP1PPP/RN1QKBNR b KQkq - 2 3,Normal development so far... The game is still looking pretty even
6,Nf6,g8f6,r1bqkb1r/pp1ppppp/2n2n2/2p5/4P3/1P6/PBPP1PPP/RN1QKBNR w KQkq - 3 4,Normal development so far... The game is still looking pretty even
7,e5,e4e5,r1bqkb1r/pp1ppppp/2n2n2/2p1P3/8/1P6/PBPP1PPP/RN1QKBNR b KQkq - 0 4,"I played Nc7 and not Nb6 because I had plans for an a6, b5 expansion"
8,Nd5,f6d5,r1bqkb1r/pp1ppppp/2n5/2pnP3/8/1P6/PBPP1PPP/RN1QKBNR w KQkq - 1 5,"I played Nc7 and not Nb6 because I had plans for an a6, b5 expansion"
9,Bc4,f1c4,r1bqkb1r/pp1ppppp/2n5/2pnP3/2B5/1P6/PBPP1PPP/RN1QK1NR b KQkq - 2 5,"I played Nc7 and not Nb6 because I had plans for an a6, b5 expansion"
10,Nc7,d5c7,r1bqkb1r/ppnppppp/2n5/2p1P3/2B5/1P6/PBPP1PPP/RN1QK1NR w KQkq - 3 6,"I played Nc7 and not Nb6 because I had plans for an a6, b5 expansion"
11,Qf3,d1f3,r1bqkb1r/ppnppppp/2n5/2p1P3/2B5/1P3Q2/PBPP1PPP/RN2K1NR b KQkq - 4 6,"Since f3 is blocked, the Knight moves to its second best developing square. This move also prepares castling"
12,e6,e7e6,r1bqkb1r/ppnp1ppp/2n1p3/2p1P3/2B5/1P3Q2/PBPP1PPP/RN2K1NR w KQkq - 0 7,"Since f3 is blocked, the Knight moves to its second best developing square. This move also prepares castling"
13,Ne2,g1e2,r1bqkb1r/ppnp1ppp/2n1p3/2p1P3/2B5/1P3Q2/PBPPNPPP/RN2K2R b KQkq - 1 7,"Since f3 is blocked, the Knight moves to its second best developing square. This move also prepares castling"
14,a6,a7a6,r1bqkb1r/1pnp1ppp/p1n1p3/2p1P3/2B5/1P3Q2/PBPPNPPP/RN2K2R w KQkq - 0 8,This moves loses time for white me thinks
15,a3,a2a3,r1bqkb1r/1pnp1ppp/p1n1p3/2p1P3/2B5/PP3Q2/1BPPNPPP/RN2K2R b KQkq - 0 8,This moves loses time for white me thinks
16,b5,b7b5,r1bqkb1r/2np1ppp/p1n1p3/1pp1P3/2B5/PP3Q2/1BPPNPPP/RN2K2R w KQkq - 0 9,Its typical to play for a queenside expansion in the sicilian
17,Bd3,c4d3,r1bqkb1r/2np1ppp/p1n1p3/1pp1P3/8/PP1B1Q2/1BPPNPPP/RN2K2R b KQkq - 1 9,"While my opponent plays for cheapos, I continue developing. Though my knight is pinned, it wouldn't be going anywhere in the nearest future"
18,Be7,f8e7,r1bqk2r/2npbppp/p1n1p3/1pp1P3/8/PP1B1Q2/1BPPNPPP/RN2K2R w KQkq - 2 10,"While my opponent plays for cheapos, I continue developing. Though my knight is pinned, it wouldn't be going anywhere in the nearest future"
19,Be4,d3e4,r1bqk2r/2npbppp/p1n1p3/1pp1P3/4B3/PP3Q2/1BPPNPPP/RN2K2R b KQkq - 3 10,"While my opponent plays for cheapos, I continue developing. Though my knight is pinned, it wouldn't be going anywhere in the nearest future"
20,Bb7,c8b7,r2qk2r/1bnpbppp/p1n1p3/1pp1P3/4B3/PP3Q2/1BPPNPPP/RN2K2R w KQkq - 4 11,"While my opponent plays for cheapos, I continue developing. Though my knight is pinned, it wouldn't be going anywhere in the nearest future"
21,d3,d2d3,r2qk2r/1bnpbppp/p1n1p3/1pp1P3/4B3/PP1P1Q2/1BP1NPPP/RN2K2R b KQkq - 0 11,"Ok I must confess, I wasn't too comfortable with the knight pinned"
22,O-O,e8g8,r2q1rk1/1bnpbppp/p1n1p3/1pp1P3/4B3/PP1P1Q2/1BP1NPPP/RN2K2R w KQ - 1 12,"Ok I must confess, I wasn't too comfortable with the knight pinned"
23,Nd2,b1d2,r2q1rk1/1bnpbppp/p1n1p3/1pp1P3/4B3/PP1P1Q2/1BPNNPPP/R3K2R b KQ - 2 12,"Ok I must confess, I wasn't too comfortable with the knight pinned"
24,Rb8,a8b8,1r1q1rk1/1bnpbppp/p1n1p3/1pp1P3/4B3/PP1P1Q2/1BPNNPPP/R3K2R w KQ - 3 13,"Ok I must confess, I wasn't too comfortable with the knight pinned"
25,h4,h2h4,1r1q1rk1/1bnpbppp/p1n1p3/1pp1P3/4B2P/PP1P1Q2/1BPNNPP1/R3K2R b KQ - 0 13,"Just when I thought white's position was ripe to castle kingside, he decides to castle queenside(or maybe not castle at all) and pawn storm my castled king"
26,Re8,f8e8,1r1qr1k1/1bnpbppp/p1n1p3/1pp1P3/4B2P/PP1P1Q2/1BPNNPP1/R3K2R w KQ - 1 14,"Oh no, I need to find some form of counter-play if I want to win this game"
27,g4,g2g4,1r1qr1k1/1bnpbppp/p1n1p3/1pp1P3/4B1PP/PP1P1Q2/1BPNNP2/R3K2R b KQ - 0 14,"Oh no, I need to find some form of counter-play if I want to win this game"
28,f6,f7f6,1r1qr1k1/1bnpb1pp/p1n1pp2/1pp1P3/4B1PP/PP1P1Q2/1BPNNP2/R3K2R w KQ - 0 15,"It was around this move I began to panic. If I was going to play f6, I should I left my rook on f8. I could have won the pawn on h4 but that just losses time and open lines to my king"
29,Ng3,e2g3,1r1qr1k1/1bnpb1pp/p1n1pp2/1pp1P3/4B1PP/PP1P1QN1/1BPN1P2/R3K2R b KQ - 1 15,"Yum, free pawn"
30,fxe5,f6e5,1r1qr1k1/1bnpb1pp/p1n1p3/1pp1p3/4B1PP/PP1P1QN1/1BPN1P2/R3K2R w KQ - 0 16,"Yum, free pawn"
31,g5,g4g5,1r1qr1k1/1bnpb1pp/p1n1p3/1pp1p1P1/4B2P/PP1P1QN1/1BPN1P2/R3K2R b KQ - 0 16,"Oops, my opponent traps his LSB"
32,d5,d7d5,1r1qr1k1/1bn1b1pp/p1n1p3/1pppp1P1/4B2P/PP1P1QN1/1BPN1P2/R3K2R w KQ - 0 17,"Yes! I get a bishop for my troubles. Notice I also have an intimidating pawn centre. Immediately I played d5, I saw Bxh7+ could be dangerous for black if not handled carefully"
33,Bxh7+,e4h7,1r1qr1k1/1bn1b1pB/p1n1p3/1pppp1P1/7P/PP1P1QN1/1BPN1P2/R3K2R b KQ - 0 17,The best way to lose the bishop
34,Kxh7,g8h7,1r1qr3/1bn1b1pk/p1n1p3/1pppp1P1/7P/PP1P1QN1/1BPN1P2/R3K2R w KQ - 0 18,"I forgot to mention that my opponent and I had just 60seconds to make a move each. I delibrated kf8 for a long while but that just let's the bishop escape. Yeah, I know I'm greedy but if the bishop turns out to be poisoned, then my king would die with the comforting feeling of taking an enemy bishop with him"
35,Qh5+,f3h5,1r1qr3/1bn1b1pk/p1n1p3/1pppp1PQ/7P/PP1P2N1/1BPN1P2/R3K2R b KQ - 1 18,"Solid play from my opponent. Here, he threatens mate in two"
36,Kg8,h7g8,1r1qr1k1/1bn1b1p1/p1n1p3/1pppp1PQ/7P/PP1P2N1/1BPN1P2/R3K2R w KQ - 2 19,"Solid play from my opponent. Here, he threatens mate in two"
37,g6,g5g6,1r1qr1k1/1bn1b1p1/p1n1p1P1/1pppp2Q/7P/PP1P2N1/1BPN1P2/R3K2R b KQ - 0 19,"Solid play from my opponent. Here, he threatens mate in two"
38,Bf6,e7f6,1r1qr1k1/1bn3p1/p1n1pbP1/1pppp2Q/7P/PP1P2N1/1BPN1P2/R3K2R w KQ - 1 20,"But fortunately for me, I find a way out of the mate"
39,Qh7+,h5h7,1r1qr1k1/1bn3pQ/p1n1pbP1/1pppp3/7P/PP1P2N1/1BPN1P2/R3K2R b KQ - 2 20,"Again solid play from my opponent as he continues to pressurize me. I noticed that if I could somehow get my rook to h8, I would trap his queen but to do that, I would have to play Ke7 which would become very exposed after Nxf6 Kxf6(the only way to recapture since the g-pawn would be pinned). Even though, I'm not so sure having my king on f6 would be that bad as the f-file is still closed to the white rooks."
40,Kf8,g8f8,1r1qrk2/1bn3pQ/p1n1pbP1/1pppp3/7P/PP1P2N1/1BPN1P2/R3K2R w KQ - 3 21,"Again solid play from my opponent as he continues to pressurize me. I noticed that if I could somehow get my rook to h8, I would trap his queen but to do that, I would have to play Ke7 which would become very exposed after Nxf6 Kxf6(the only way to recapture since the g-pawn would be pinned). Even though, I'm not so sure having my king on f6 would be that bad as the f-file is still closed to the white rooks."
41,Nh5,g3h5,1r1qrk2/1bn3pQ/p1n1pbP1/1pppp2N/7P/PP1P4/1BPN1P2/R3K2R b KQ - 4 21,"Again solid play from my opponent as he continues to pressurize me. I noticed that if I could somehow get my rook to h8, I would trap his queen but to do that, I would have to play Ke7 which would become very exposed after Nxf6 Kxf6(the only way to recapture since the g-pawn would be pinned). Even though, I'm not so sure having my king on f6 would be that bad as the f-file is still closed to the white rooks."
42,Nd4,c6d4,1r1qrk2/1bn3pQ/p3pbP1/1pppp2N/3n3P/PP1P4/1BPN1P2/R3K2R w KQ - 5 22,My opponent castles and gets ready to bring his other rook over to the kingside
43,O-O-O,e1c1,1r1qrk2/1bn3pQ/p3pbP1/1pppp2N/3n3P/PP1P4/1BPN1P2/2KR3R b - - 6 22,My opponent castles and gets ready to bring his other rook over to the kingside
