N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,e4,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,"Hi everyone!

Thank goodness I decided to play this game unrated as Coach Ion, no doubt, will call my play in this one x-rated!  I thought I had some good tactical play going, but alas my opponent completely out-foxed me and I got well and truly stuffed in just 19 moves."
2,Na6,b8a6,r1bqkbnr/pppppppp/n7/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 2,2.d4 - after my opponent responded with a Freddy-esque reply to my e4 with Na6 I just got on with making a strong pawn centre.
3,d4,d2d4,r1bqkbnr/pppppppp/n7/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,2.d4 - after my opponent responded with a Freddy-esque reply to my e4 with Na6 I just got on with making a strong pawn centre.
4,c6,c7c6,r1bqkbnr/pp1ppppp/n1p5/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,4. Nf3 .... and supporting it.
5,c3,c2c3,r1bqkbnr/pp1ppppp/n1p5/8/3PP3/2P5/PP3PPP/RNBQKBNR b KQkq - 0 3,4. Nf3 .... and supporting it.
6,d6,d7d6,r1bqkbnr/pp2pppp/n1pp4/8/3PP3/2P5/PP3PPP/RNBQKBNR w KQkq - 0 4,4. Nf3 .... and supporting it.
7,Nf3,g1f3,r1bqkbnr/pp2pppp/n1pp4/8/3PP3/2P2N2/PP3PPP/RNBQKB1R b KQkq - 1 4,4. Nf3 .... and supporting it.
8,g6,g7g6,r1bqkbnr/pp2pp1p/n1pp2p1/8/3PP3/2P2N2/PP3PPP/RNBQKB1R w KQkq - 0 5,4. ..... g6 - transposing into a kind of Pirc Defense.  That dark square bishop is gonna be the devil of Henry.
9,Be3,c1e3,r1bqkbnr/pp2pp1p/n1pp2p1/8/3PP3/2P1BN2/PP3PPP/RN1QKB1R b KQkq - 1 5,"7. Be2 - after such sensible development, how in the hell did I lose from here?"
10,Bg7,f8g7,r1bqk1nr/pp2ppbp/n1pp2p1/8/3PP3/2P1BN2/PP3PPP/RN1QKB1R w KQkq - 2 6,"7. Be2 - after such sensible development, how in the hell did I lose from here?"
11,Nbd2,b1d2,r1bqk1nr/pp2ppbp/n1pp2p1/8/3PP3/2P1BN2/PP1N1PPP/R2QKB1R b KQkq - 3 6,"7. Be2 - after such sensible development, how in the hell did I lose from here?"
12,b5,b7b5,r1bqk1nr/p3ppbp/n1pp2p1/1p6/3PP3/2P1BN2/PP1N1PPP/R2QKB1R w KQkq - 0 7,"7. Be2 - after such sensible development, how in the hell did I lose from here?"
13,Be2,f1e2,r1bqk1nr/p3ppbp/n1pp2p1/1p6/3PP3/2P1BN2/PP1NBPPP/R2QK2R b KQkq - 1 7,"7. Be2 - after such sensible development, how in the hell did I lose from here?"
14,Nf6,g8f6,r1bqk2r/p3ppbp/n1pp1np1/1p6/3PP3/2P1BN2/PP1NBPPP/R2QK2R w KQkq - 2 8,"8. d5?! - seemed a good idea at the time, thought I would win a pawn but playing 0-0 here would have averted disaster methinks."
15,d5,d4d5,r1bqk2r/p3ppbp/n1pp1np1/1p1P4/4P3/2P1BN2/PP1NBPPP/R2QK2R b KQkq - 0 8,"8. d5?! - seemed a good idea at the time, thought I would win a pawn but playing 0-0 here would have averted disaster methinks."
16,Nc5,a6c5,r1bqk2r/p3ppbp/2pp1np1/1pnP4/4P3/2P1BN2/PP1NBPPP/R2QK2R w KQkq - 1 9,10. ..... Nxe4 - knight trade.
17,dxc6,d5c6,r1bqk2r/p3ppbp/2Pp1np1/1pn5/4P3/2P1BN2/PP1NBPPP/R2QK2R b KQkq - 0 9,10. ..... Nxe4 - knight trade.
18,Nfxe4,f6e4,r1bqk2r/p3ppbp/2Pp2p1/1pn5/4n3/2P1BN2/PP1NBPPP/R2QK2R w KQkq - 0 10,10. ..... Nxe4 - knight trade.
19,Nxe4,d2e4,r1bqk2r/p3ppbp/2Pp2p1/1pn5/4N3/2P1BN2/PP2BPPP/R2QK2R b KQkq - 0 10,10. ..... Nxe4 - knight trade.
20,Nxe4,c5e4,r1bqk2r/p3ppbp/2Pp2p1/1p6/4n3/2P1BN2/PP2BPPP/R2QK2R w KQkq - 0 11,10. ..... Nxe4 - knight trade.
21,Bxb5,e2b5,r1bqk2r/p3ppbp/2Pp2p1/1B6/4n3/2P1BN2/PP3PPP/R2QK2R b KQkq - 0 11,11. Bxb5 - nacht.
22,Qa5,d8a5,r1b1k2r/p3ppbp/2Pp2p1/qB6/4n3/2P1BN2/PP3PPP/R2QK2R w KQkq - 1 12,"12. Qa4?? - overlooking a tactical sac.  Ah Ion, I only saw the sac after I had hit the submit button but I thought I could get out of it.  My opponent, however, thought otherwise."
23,Qa4,d1a4,r1b1k2r/p3ppbp/2Pp2p1/qB6/Q3n3/2P1BN2/PP3PPP/R3K2R b KQkq - 2 12,"12. Qa4?? - overlooking a tactical sac.  Ah Ion, I only saw the sac after I had hit the submit button but I thought I could get out of it.  My opponent, however, thought otherwise."
24,Bxc3+,g7c3,r1b1k2r/p3pp1p/2Pp2p1/qB6/Q3n3/2b1BN2/PP3PPP/R3K2R w KQkq - 0 13,15. Kd3 (forced).  If I block on d2 then Glenda is a gonna to Nc3+.
25,bxc3,b2c3,r1b1k2r/p3pp1p/2Pp2p1/qB6/Q3n3/2P1BN2/P4PPP/R3K2R b KQkq - 0 13,15. Kd3 (forced).  If I block on d2 then Glenda is a gonna to Nc3+.
26,Qxc3+,a5c3,r1b1k2r/p3pp1p/2Pp2p1/1B6/Q3n3/2q1BN2/P4PPP/R3K2R w KQkq - 0 14,15. Kd3 (forced).  If I block on d2 then Glenda is a gonna to Nc3+.
27,Ke2,e1e2,r1b1k2r/p3pp1p/2Pp2p1/1B6/Q3n3/2q1BN2/P3KPPP/R6R b kq - 1 14,15. Kd3 (forced).  If I block on d2 then Glenda is a gonna to Nc3+.
28,Qb2+,c3b2,r1b1k2r/p3pp1p/2Pp2p1/1B6/Q3n3/4BN2/Pq2KPPP/R6R w kq - 2 15,15. Kd3 (forced).  If I block on d2 then Glenda is a gonna to Nc3+.
29,Kd3,e2d3,r1b1k2r/p3pp1p/2Pp2p1/1B6/Q3n3/3KBN2/Pq3PPP/R6R b kq - 3 15,15. Kd3 (forced).  If I block on d2 then Glenda is a gonna to Nc3+.
30,Bf5,c8f5,r3k2r/p3pp1p/2Pp2p1/1B3b2/Q3n3/3KBN2/Pq3PPP/R6R w kq - 4 16,"15. .... Bf5 - threatening Nd5 double check, again snaring Glenda."
31,c7+,c6c7,r3k2r/p1P1pp1p/3p2p1/1B3b2/Q3n3/3KBN2/Pq3PPP/R6R b kq - 0 16,"16. c7+ - I get a discovery of my own in, but alas it ain't gonna work."
32,Kf8,e8f8,r4k1r/p1P1pp1p/3p2p1/1B3b2/Q3n3/3KBN2/Pq3PPP/R6R w - - 1 17,"18. Ke3 - I thought I had escaped the discovered check but alas, left my f2 pawn en prise to the Wicked Witch of the West who waves her wand, turns it to dust and cackles check in the ear of King Henry.  I either have to walk Henry back into that discovery or Cop Old Matey by playing Henry to f4 and allowing e5#, or Option C, wave the white flag.  I chose Option C.  I must now start working on my tactics even though I have increased my games workload.  All I can say is, it has been, er erm, a voyage of discovery!"
33,Bh6+,e3h6,r4k1r/p1P1pp1p/3p2pB/1B3b2/Q3n3/3K1N2/Pq3PPP/R6R b - - 2 17,"18. Ke3 - I thought I had escaped the discovered check but alas, left my f2 pawn en prise to the Wicked Witch of the West who waves her wand, turns it to dust and cackles check in the ear of King Henry.  I either have to walk Henry back into that discovery or Cop Old Matey by playing Henry to f4 and allowing e5#, or Option C, wave the white flag.  I chose Option C.  I must now start working on my tactics even though I have increased my games workload.  All I can say is, it has been, er erm, a voyage of discovery!"
34,Kg8,f8g8,r5kr/p1P1pp1p/3p2pB/1B3b2/Q3n3/3K1N2/Pq3PPP/R6R w - - 3 18,"18. Ke3 - I thought I had escaped the discovered check but alas, left my f2 pawn en prise to the Wicked Witch of the West who waves her wand, turns it to dust and cackles check in the ear of King Henry.  I either have to walk Henry back into that discovery or Cop Old Matey by playing Henry to f4 and allowing e5#, or Option C, wave the white flag.  I chose Option C.  I must now start working on my tactics even though I have increased my games workload.  All I can say is, it has been, er erm, a voyage of discovery!"
35,Ke3,d3e3,r5kr/p1P1pp1p/3p2pB/1B3b2/Q3n3/4KN2/Pq3PPP/R6R b - - 4 18,"18. Ke3 - I thought I had escaped the discovered check but alas, left my f2 pawn en prise to the Wicked Witch of the West who waves her wand, turns it to dust and cackles check in the ear of King Henry.  I either have to walk Henry back into that discovery or Cop Old Matey by playing Henry to f4 and allowing e5#, or Option C, wave the white flag.  I chose Option C.  I must now start working on my tactics even though I have increased my games workload.  All I can say is, it has been, er erm, a voyage of discovery!"
36,Qxf2+,b2f2,r5kr/p1P1pp1p/3p2pB/1B3b2/Q3n3/4KN2/P4qPP/R6R w - - 0 19,
