N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,d4,d2d4,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,"Hi all! Here is a casual OTB game against a friend of mine. As you can see, I am White, and I open with my usual Queen Pawn."
2,d6,d7d6,rnbqkbnr/ppp1pppp/3p4/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,"I know, it's too early to jump to conclusions, but I already know that my opponent is about to play his new favourite opening - the Hippopotamus Defence, a very solid, flexible and sometimes aggressive hypermodern system. He made this discovery in a recent Daily Telegraph (UK) chess column by Malcolm Pein, entitled ""Try the Hippo on for Size"". He has already scored 2 victories over me with this opening. However, I believe I have found an effective way to test the Hippo to its fullest extent."
3,e4,e2e4,rnbqkbnr/ppp1pppp/3p4/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,Occupying the centre.
4,b6,b7b6,rnbqkbnr/p1p1pppp/1p1p4/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,"The Hippopotamus is a very restrained opening, advancing pawns to a6, b6, d6, e6, g6 and h6, fianchettoing both bishops and developing the knights to d7 and e7. Black reserves the option to castle on either side, and has the possibility of leaping into the attack on either side when White commits himself by castling."
5,d5,d4d5,rnbqkbnr/p1p1pppp/1p1p4/3P4/4P3/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,"THIS is my plan, developing as much of a central squeeze as I possibly can by forming a pawn formation just like that in the Four Pawns Attack of Alekhine's Defence. My own, personal maxim is that :::--- the greatest test for a Hypermodern opening is playing against Classical play."
6,g6,g7g6,rnbqkbnr/p1p1pp1p/1p1p2p1/3P4/4P3/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,"THIS is my plan, developing as much of a central squeeze as I possibly can by forming a pawn formation just like that in the Four Pawns Attack of Alekhine's Defence. My own, personal maxim is that :::--- the greatest test for a Hypermodern opening is playing against Classical play."
7,c4,c2c4,rnbqkbnr/p1p1pp1p/1p1p2p1/3P4/2P1P3/8/PP3PPP/RNBQKBNR b KQkq - 0 4,"THIS is my plan, developing as much of a central squeeze as I possibly can by forming a pawn formation just like that in the Four Pawns Attack of Alekhine's Defence. My own, personal maxim is that :::--- the greatest test for a Hypermodern opening is playing against Classical play."
8,Nd7,b8d7,r1bqkbnr/p1pnpp1p/1p1p2p1/3P4/2P1P3/8/PP3PPP/RNBQKBNR w KQkq - 1 5,"THIS is my plan, developing as much of a central squeeze as I possibly can by forming a pawn formation just like that in the Four Pawns Attack of Alekhine's Defence. My own, personal maxim is that :::--- the greatest test for a Hypermodern opening is playing against Classical play."
9,f4,f2f4,r1bqkbnr/p1pnpp1p/1p1p2p1/3P4/2P1PP2/8/PP4PP/RNBQKBNR b KQkq - 0 5,"THIS is my plan, developing as much of a central squeeze as I possibly can by forming a pawn formation just like that in the Four Pawns Attack of Alekhine's Defence. My own, personal maxim is that :::--- the greatest test for a Hypermodern opening is playing against Classical play."
10,Bg7,f8g7,r1bqk1nr/p1pnppbp/1p1p2p1/3P4/2P1PP2/8/PP4PP/RNBQKBNR w KQkq - 1 6,"Fianchettoing the bishop. I don't like the powerful line it has against my b2-pawn and a1-rook, so..."
11,Nc3,b1c3,r1bqk1nr/p1pnppbp/1p1p2p1/3P4/2P1PP2/2N5/PP4PP/R1BQKBNR b KQkq - 2 6,...I block the aforesaid line. The only problem is that Black can now clog up my pawnstructure with 6...Bxc3 7.bxc3.
12,Bxc3+,g7c3,r1bqk1nr/p1pnpp1p/1p1p2p1/3P4/2P1PP2/2b5/PP4PP/R1BQKBNR w KQkq - 0 7,"I now believe that Black will have to castle queenside, as without the kingside fianchettoed bishop his kingside is dangerously exposed."
13,bxc3,b2c3,r1bqk1nr/p1pnpp1p/1p1p2p1/3P4/2P1PP2/2P5/P5PP/R1BQKBNR b KQkq - 0 7,"I now believe that Black will have to castle queenside, as without the kingside fianchettoed bishop his kingside is dangerously exposed."
14,Bb7,c8b7,r2qk1nr/pbpnpp1p/1p1p2p1/3P4/2P1PP2/2P5/P5PP/R1BQKBNR w KQkq - 1 8,"I now believe that Black will have to castle queenside, as without the kingside fianchettoed bishop his kingside is dangerously exposed."
15,Nf3,g1f3,r2qk1nr/pbpnpp1p/1p1p2p1/3P4/2P1PP2/2P2N2/P5PP/R1BQKB1R b KQkq - 2 8,"Reinforcing my weaker control on the dark squares. With regard to the light squares, my pawns occupy them and Black's bishop is banging his head on granite...or is it concrete?"
16,e6,e7e6,r2qk1nr/pbpn1p1p/1p1pp1p1/3P4/2P1PP2/2P2N2/P5PP/R1BQKB1R w KQkq - 0 9,"With a possible central pawn exchange, I hope to undouble my c-pawns."
17,g3,g2g3,r2qk1nr/pbpn1p1p/1p1pp1p1/3P4/2P1PP2/2P2NP1/P6P/R1BQKB1R b KQkq - 0 9,Aiming the develop the bishop on its most active square: h3.
18,exd5,e6d5,r2qk1nr/pbpn1p1p/1p1p2p1/3p4/2P1PP2/2P2NP1/P6P/R1BQKB1R w KQkq - 0 10,"The other knight is developed, however Black's control of all the centre is dangerously weak, thanks to my powerful pawns and his lack of a dark-squared bishop, which would have struck straight through my position."
19,cxd5,c4d5,r2qk1nr/pbpn1p1p/1p1p2p1/3P4/4PP2/2P2NP1/P6P/R1BQKB1R b KQkq - 0 10,"The other knight is developed, however Black's control of all the centre is dangerously weak, thanks to my powerful pawns and his lack of a dark-squared bishop, which would have struck straight through my position."
20,Ne7,g8e7,r2qk2r/pbpnnp1p/1p1p2p1/3P4/4PP2/2P2NP1/P6P/R1BQKB1R w KQkq - 1 11,"The other knight is developed, however Black's control of all the centre is dangerously weak, thanks to my powerful pawns and his lack of a dark-squared bishop, which would have struck straight through my position."
21,c4,c3c4,r2qk2r/pbpnnp1p/1p1p2p1/3P4/2P1PP2/5NP1/P6P/R1BQKB1R b KQkq - 0 11,Fianchettoing the bishop with tempo.
22,c6,c7c6,r2qk2r/pb1nnp1p/1ppp2p1/3P4/2P1PP2/5NP1/P6P/R1BQKB1R w KQkq - 0 12,Fianchettoing the bishop with tempo.
23,Bb2,c1b2,r2qk2r/pb1nnp1p/1ppp2p1/3P4/2P1PP2/5NP1/PB5P/R2QKB1R b KQkq - 1 12,Fianchettoing the bishop with tempo.
24,O-O,e8g8,r2q1rk1/pb1nnp1p/1ppp2p1/3P4/2P1PP2/5NP1/PB5P/R2QKB1R w KQ - 2 13,"(?) Black's main long-term error. One of the main ideas in the Hippopotamus is to reserve the option for a long time to castle on either side, and, quite apart from that, Black has castled right into a thunderstorm. How could anyone believe that the kingside, with my bishop raking through it, and no dark-squared bishop to cover the holes, is safe?"
