N_move,Standard_notation,UCI_notation,FEN_notation,Comment
1,Nf3,g1f3,rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,this move transforms the game to Polish Game.
2,Nf6,g8f6,rnbqkb1r/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 2 2,this move transforms the game to Polish Game.
3,c4,c2c4,rnbqkb1r/pppppppp/5n2/8/2P5/5N2/PP1PPPPP/RNBQKB1R b KQkq - 0 2,this move transforms the game to Polish Game.
4,g6,g7g6,rnbqkb1r/pppppp1p/5np1/8/2P5/5N2/PP1PPPPP/RNBQKB1R w KQkq - 0 3,this move transforms the game to Polish Game.
5,b4,b2b4,rnbqkb1r/pppppp1p/5np1/8/1PP5/5N2/P2PPPPP/RNBQKB1R b KQkq - 0 3,this move transforms the game to Polish Game.
6,d5,d7d5,rnbqkb1r/ppp1pp1p/5np1/3p4/1PP5/5N2/P2PPPPP/RNBQKB1R w KQkq - 0 4,"a weak move, better is 5- ..... Nf6"
7,cxd5,c4d5,rnbqkb1r/ppp1pp1p/5np1/3P4/1P6/5N2/P2PPPPP/RNBQKB1R b KQkq - 0 4,"a weak move, better is 5- ..... Nf6"
8,Nxd5,f6d5,rnbqkb1r/ppp1pp1p/6p1/3n4/1P6/5N2/P2PPPPP/RNBQKB1R w KQkq - 0 5,"a weak move, better is 5- ..... Nf6"
9,Bb2,c1b2,rnbqkb1r/ppp1pp1p/6p1/3n4/1P6/5N2/PB1PPPPP/RN1QKB1R b KQkq - 1 5,"a weak move, better is 5- ..... Nf6"
10,Rg8,h8g8,rnbqkbr1/ppp1pp1p/6p1/3n4/1P6/5N2/PB1PPPPP/RN1QKB1R w KQq - 2 6,"a weak move, better is 5- ..... Nf6"
11,a3,a2a3,rnbqkbr1/ppp1pp1p/6p1/3n4/1P6/P4N2/1B1PPPPP/RN1QKB1R b KQq - 0 6,"forced retreat, to prevent White of occupying d6"
12,Bh6,f8h6,rnbqk1r1/ppp1pp1p/6pb/3n4/1P6/P4N2/1B1PPPPP/RN1QKB1R w KQq - 1 7,"forced retreat, to prevent White of occupying d6"
13,d4,d2d4,rnbqk1r1/ppp1pp1p/6pb/3n4/1P1P4/P4N2/1B2PPPP/RN1QKB1R b KQq - 0 7,"forced retreat, to prevent White of occupying d6"
14,c6,c7c6,rnbqk1r1/pp2pp1p/2p3pb/3n4/1P1P4/P4N2/1B2PPPP/RN1QKB1R w KQq - 0 8,"forced retreat, to prevent White of occupying d6"
15,e4,e2e4,rnbqk1r1/pp2pp1p/2p3pb/3n4/1P1PP3/P4N2/1B3PPP/RN1QKB1R b KQq - 0 8,"forced retreat, to prevent White of occupying d6"
16,Nc7,d5c7,rnbqk1r1/ppn1pp1p/2p3pb/8/1P1PP3/P4N2/1B3PPP/RN1QKB1R w KQq - 1 9,"forced retreat, to prevent White of occupying d6"
